run_id,model_id,provider,eval_date_utc,item_id,relation,raw_response,parsed_taxonomy,invalid_reason,latency_ms
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,868,facing away from,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,937,perpendicular to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1035,parallel to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1093,facing away from,front_back_object_ambiguous,front_back_object_ambiguous,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1167,facing away from,subject_reference_inversion,subject_reference_inversion,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1178,parallel to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1202,facing,camera_viewpoint_ambiguity,camera_viewpoint_ambiguity,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1266,facing away from,annotation_questionable,annotation_questionable,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1296,facing away from,subject_reference_inversion,subject_reference_inversion,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1312,facing away from,subject_reference_inversion,subject_reference_inversion,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1384,parallel to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1400,facing away from,annotation_questionable,annotation_questionable,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1405,facing,camera_viewpoint_ambiguity,camera_viewpoint_ambiguity,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1490,facing away from,front_back_object_ambiguous,front_back_object_ambiguous,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1559,facing,small_occluded_object,small_occluded_object,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1608,parallel to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1611,facing,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1662,parallel to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1815,parallel to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1905,facing,small_occluded_object,small_occluded_object,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1939,facing away from,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,1953,facing away from,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,2034,facing away from,intrinsic_orientation_ambiguous,intrinsic_orientation_ambiguous,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,2059,perpendicular to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,2151,facing,small_occluded_object,small_occluded_object,,
