id,orig_idx,family,orig_rel,flip_rel,orig_label,flip_label,statement,ground_truth,prediction,correct,raw_output,image_url,thinking_likely,retries
59,59,LR,at the left side of,at the right side of,False,True,The cat is at the right side of the left side of the laptop.,True,False,False,False,http://images.cocodataset.org/train2017/000000232394.jpg,0,0
12,12,FB,behind,in front of,True,False,The potted plant is in front of the fire hydrant.,False,False,True,False,http://images.cocodataset.org/train2017/000000408351.jpg,0,0
75,75,LR,at the left side of,at the right side of,True,False,The person is at the right side of the left side of the truck.,False,True,False,"The statement ""The person is at the right side of the left side of the truck"" is **True**.

**Reasoning:**
1.  **Identify the ""left side of the truck"":** The image shows the driver's side of the vehicle (indicated by the steering wheel position and the sliding",http://images.cocodataset.org/train2017/000000570956.jpg,1,0
81,81,FF,facing away from,facing,False,True,The cat is facing the tv.,True,True,True,"The user wants to know if the statement ""The cat is facing the tv"" is true based on the image.

1.  **Analyze the image content**: The image shows a television screen displaying a football match. In the foreground, silhouetted against the bright screen, is a black cat.
2.",http://images.cocodataset.org/train2017/000000469661.jpg,1,0
69,69,FB,behind,in front of,False,True,The book is in front of the cat.,True,False,False,False,http://images.cocodataset.org/train2017/000000014766.jpg,0,0
107,107,LR,at the right side of,at the left side of,True,False,The dining table is at the left side of the right side of the refrigerator.,False,True,False,True,http://images.cocodataset.org/train2017/000000240709.jpg,0,0
114,114,FF,facing,facing away from,False,True,The person is facing away from the book.,True,False,False,False,http://images.cocodataset.org/train2017/000000040114.jpg,0,0
10,10,FB,in front of,behind,False,True,The motorcycle is behind the truck.,True,False,False,False,http://images.cocodataset.org/train2017/000000120207.jpg,0,1
110,110,LR,at the right side of,at the left side of,True,False,The keyboard is at the left side of the right side of the apple.,False,True,False,True,http://images.cocodataset.org/train2017/000000511644.jpg,0,0
84,84,LR,at the left side of,at the right side of,False,True,The clock is at the right side of the left side of the bird.,True,False,False,"The statement ""The clock is at the right side of the left side of the bird"" is **False**.

**Reasoning:**
1.  **Identify the objects:** The image shows a blue bird perched on a balcony and a clock face below it.
2.  **Analyze the spatial relationship",http://images.cocodataset.org/train2017/000000171067.jpg,1,0
109,109,FB,in front of,behind,True,False,The bicycle is behind the umbrella.,False,False,True,False,http://images.cocodataset.org/train2017/000000205613.jpg,0,0
95,95,LR,at the right side of,at the left side of,False,True,The teddy bear is at the left side of the right side of the dog.,True,False,False,False,http://images.cocodataset.org/train2017/000000157616.jpg,0,0
85,85,LR,at the left side of,at the right side of,True,False,The pizza is at the right side of the left side of the dog.,False,True,False,"The statement ""The pizza is at the right side of the left side of the dog"" is **True**.

**Reasoning:**
1.  **""The left side of the dog""**: In the image, the dog is facing the camera. The dog's left side corresponds to the **right side of",http://images.cocodataset.org/train2017/000000508555.jpg,1,0
118,118,LR,at the right side of,at the left side of,False,True,The cell phone is at the left side of the right side of the person.,True,True,True,"The statement ""The cell phone is at the left side of the right side of the person"" is **True**.

**Reasoning:**
1.  **Identify the ""right side of the person"":** The image shows a hand holding the phone. Based on the thumb position (on the left side of",http://images.cocodataset.org/train2017/000000109488.jpg,1,0
124,124,FB,in front of,behind,False,True,The bus is behind the car.,True,True,True,True,http://images.cocodataset.org/train2017/000000244421.jpg,0,0
139,139,FB,behind,in front of,False,True,The pizza is in front of the sandwich.,True,False,False,False,http://images.cocodataset.org/train2017/000000501756.jpg,0,0
64,64,LR,at the left side of,at the right side of,False,True,The cat is at the right side of the left side of the teddy bear.,True,True,True,"The statement ""The cat is at the right side of the left side of the teddy bear"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The image shows a teddy bear in the foreground and a cat in the background.
2.  **Locate the """,http://images.cocodataset.org/train2017/000000555951.jpg,1,1
126,126,FB,in front of,behind,True,False,The couch is behind the bed.,False,True,False,True,http://images.cocodataset.org/train2017/000000305660.jpg,0,0
125,125,LR,right of,left of,False,True,The horse is left of the person.,True,True,True,True,http://images.cocodataset.org/train2017/000000532748.jpg,0,0
142,142,FB,behind,in front of,True,False,The horse is in front of the cat.,False,True,False,True,http://images.cocodataset.org/train2017/000000485148.jpg,0,0
156,156,FF,facing away from,facing,True,False,The person is facing the horse.,False,False,True,False,http://images.cocodataset.org/train2017/000000004972.jpg,0,0
154,154,FB,behind,in front of,True,False,The bus is in front of the bicycle.,False,False,True,False,http://images.cocodataset.org/train2017/000000469728.jpg,0,0
160,160,FB,behind,in front of,False,True,The vase is in front of the cat.,True,False,False,False,http://images.cocodataset.org/train2017/000000261225.jpg,0,0
80,80,FB,in front of,behind,True,False,The person is behind the refrigerator.,False,False,True,False,http://images.cocodataset.org/train2017/000000261305.jpg,0,0
165,165,FB,in front of,behind,False,True,The elephant is behind the truck.,True,False,False,False,http://images.cocodataset.org/train2017/000000027989.jpg,0,0
170,170,FF,facing away from,facing,False,True,The person is facing the cow.,True,True,True,True,http://images.cocodataset.org/train2017/000000221771.jpg,0,0
171,171,FF,facing,facing away from,True,False,The teddy bear is facing away from the cow.,False,False,True,"The statement is **False**.

The animal in the image is a deer (likely a Sika deer, common in places like Nara, Japan), not a cow. Additionally, the teddy bear is facing towards the deer, not away from it.",http://images.cocodataset.org/train2017/000000459644.jpg,1,0
177,177,FB,in front of,behind,True,False,The bicycle is behind the cat.,False,False,True,False,http://images.cocodataset.org/val2017/000000109055.jpg,0,0
153,153,FB,in front of,behind,True,False,The cat is behind the refrigerator.,False,False,True,False,http://images.cocodataset.org/train2017/000000117774.jpg,0,0
187,187,FB,in front of,behind,True,False,The dog is behind the sports ball.,False,False,True,False,http://images.cocodataset.org/train2017/000000284772.jpg,0,0
194,194,LR,at the right side of,at the left side of,False,True,The couch is at the left side of the right side of the umbrella.,True,True,True,"The statement ""The couch is at the left side of the right side of the umbrella"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The image shows a large beige umbrella and a brown wicker couch.
2.  **Analyze the spatial relationship:** The umbrella is",http://images.cocodataset.org/train2017/000000428329.jpg,1,0
106,106,FF,facing away from,facing,False,True,The parking meter is facing the person.,True,False,False,False,http://images.cocodataset.org/train2017/000000567205.jpg,0,0
206,206,FB,in front of,behind,False,True,The suitcase is behind the person.,True,False,False,False,http://images.cocodataset.org/train2017/000000261779.jpg,0,0
207,207,LR,at the right side of,at the left side of,True,False,The cat is at the left side of the right side of the bed.,False,True,False,"The statement ""The cat is at the left side of the right side of the bed"" is **True**.

**Reasoning:**
1.  **Analyze the Bed's Layout:** The bed is positioned with a bookshelf on the left side of the image. This establishes the ""left side of the bed",http://images.cocodataset.org/val2017/000000134882.jpg,1,0
189,189,PP,parallel to,perpendicular to,True,False,The bus is perpendicular to the motorcycle.,False,False,True,"The user wants me to determine if the statement ""The bus is perpendicular to the motorcycle"" is true or false based on the image.

1.  **Analyze the orientation of the motorcycle:** The motorcycle is positioned in the foreground, angled slightly towards the left. We can see its rear and right side. It is",http://images.cocodataset.org/train2017/000000087705.jpg,1,0
190,190,LR,at the left side of,at the right side of,True,False,The banana is at the right side of the left side of the cat.,False,False,True,"The statement ""The banana is at the right side of the left side of the cat"" is **False**.

**Reasoning:**
1.  **Identify the objects:** The image shows a large bunch of bananas and a cat.
2.  **Determine relative positions:** The cat is positioned in the",http://images.cocodataset.org/train2017/000000259475.jpg,1,0
11,11,LR,at the left side of,at the right side of,True,False,The bed is at the right side of the left side of the bench.,False,False,True,"The statement ""The bed is at the right side of the left side of the bench"" is **False**.

The bed is located to the **left** of the bench. The phrase ""right side of the left side"" implies a location towards the center or right, which contradicts the bed's position on the",http://images.cocodataset.org/train2017/000000262118.jpg,1,2
195,195,LR,left of,right of,True,False,The toilet is right of the cat.,False,False,True,False,http://images.cocodataset.org/train2017/000000063950.jpg,0,0
211,211,FF,facing away from,facing,True,False,The bus is facing the cow.,False,False,True,"The statement ""The bus is facing the cow"" is **False**.

**Reasoning:**
1.  **Identify the objects:** The image shows a cow on the left side of the road and a bus on the right side.
2.  **Determine the bus's orientation:** The bus is moving",http://images.cocodataset.org/train2017/000000162355.jpg,1,0
213,213,FF,facing,facing away from,True,False,The laptop is facing away from the sandwich.,False,False,True,False,http://images.cocodataset.org/train2017/000000302643.jpg,0,0
239,239,FF,facing away from,facing,True,False,The cat is facing the toilet.,False,False,True,False,http://images.cocodataset.org/train2017/000000518156.jpg,0,0
232,232,FB,behind,in front of,True,False,The person is in front of the bear.,False,False,True,False,http://images.cocodataset.org/train2017/000000497662.jpg,0,0
215,215,LR,at the right side of,at the left side of,False,True,The person is at the left side of the right side of the cake.,True,True,True,"The statement ""The person is at the left side of the right side of the cake"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The ""cake"" (or pastry) is located on a plate in the bottom right corner of the image. The ""person"" is",http://images.cocodataset.org/train2017/000000046441.jpg,1,0
248,248,FB,in front of,behind,True,False,The truck is behind the giraffe.,False,False,True,False,http://images.cocodataset.org/train2017/000000053748.jpg,0,0
247,247,LR,at the left side of,at the right side of,True,False,The teddy bear is at the right side of the left side of the cat.,False,False,True,"The statement ""The teddy bear is at the right side of the left side of the cat"" is **False**.

Here is the reasoning:
1.  **Identify the objects**: The image shows a cat on the left and a teddy bear on the right.
2.  **Analyze the spatial",http://images.cocodataset.org/train2017/000000484174.jpg,1,0
181,181,LR,at the right side of,at the left side of,True,False,The cup is at the left side of the right side of the cat.,False,True,False,"The statement ""The cup is at the left side of the right side of the cat"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The image shows a cat lying down with a red 7-Eleven cup positioned on the right side of the image (and the",http://images.cocodataset.org/train2017/000000248461.jpg,1,1
250,250,FF,facing,facing away from,True,False,The laptop is facing away from the chair.,False,False,True,False,http://images.cocodataset.org/train2017/000000066376.jpg,0,0
256,256,FB,in front of,behind,True,False,The sink is behind the person.,False,False,True,False,http://images.cocodataset.org/train2017/000000571334.jpg,0,0
260,260,FB,in front of,behind,True,False,The hot dog is behind the banana.,False,False,True,False,http://images.cocodataset.org/train2017/000000029794.jpg,0,0
264,264,FB,in front of,behind,True,False,The cow is behind the person.,False,False,True,False,http://images.cocodataset.org/train2017/000000316536.jpg,0,0
251,251,LR,right of,left of,False,True,The person is left of the refrigerator.,True,False,False,False,http://images.cocodataset.org/train2017/000000462151.jpg,0,0
210,210,LR,right of,left of,True,False,The pizza is left of the bottle.,False,False,True,False,http://images.cocodataset.org/train2017/000000342259.jpg,0,0
267,267,FB,in front of,behind,True,False,The bus is behind the boat.,False,False,True,False,http://images.cocodataset.org/val2017/000000449432.jpg,0,0
230,230,FF,facing away from,facing,False,True,The teddy bear is facing the book.,True,True,True,True,http://images.cocodataset.org/train2017/000000089870.jpg,0,0
273,273,LR,at the right side of,at the left side of,False,True,The cake is at the left side of the right side of the apple.,True,True,True,"The statement ""The cake is at the left side of the right side of the apple"" is **True**.

**Reasoning:**
1.  **Identify the objects:** There is a whole apple in the top right corner and a cake in the center.
2.  **Analyze the spatial relationship:**",http://images.cocodataset.org/train2017/000000071664.jpg,1,0
244,244,LR,at the right side of,at the left side of,True,False,The cake is at the left side of the right side of the laptop.,False,True,False,"The statement ""The cake is at the left side of the right side of the laptop"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The laptop is on the left side of the image. The cake (muffin) is in the center.
2.  **",http://images.cocodataset.org/train2017/000000393375.jpg,1,0
157,157,LR,left of,right of,True,False,The chair is right of the teddy bear.,False,False,True,False,http://images.cocodataset.org/train2017/000000531568.jpg,0,1
271,271,FB,behind,in front of,False,True,The microwave is in front of the person.,True,False,False,False,http://images.cocodataset.org/train2017/000000264255.jpg,0,0
279,279,FB,in front of,behind,False,True,The dining table is behind the person.,True,True,True,True,http://images.cocodataset.org/train2017/000000126625.jpg,0,0
282,282,FB,behind,in front of,True,False,The chair is in front of the person.,False,False,True,False,http://images.cocodataset.org/train2017/000000540765.jpg,0,0
288,288,LR,right of,left of,True,False,The bench is left of the bed.,False,False,True,False,http://images.cocodataset.org/train2017/000000262118.jpg,0,0
284,284,LR,at the right side of,at the left side of,False,True,The laptop is at the left side of the right side of the apple.,True,False,False,False,http://images.cocodataset.org/train2017/000000579201.jpg,0,0
280,280,FF,facing,facing away from,True,False,The person is facing away from the teddy bear.,False,False,True,False,http://images.cocodataset.org/train2017/000000041753.jpg,0,0
278,278,FB,behind,in front of,False,True,The car is in front of the teddy bear.,True,False,False,False,http://images.cocodataset.org/train2017/000000151764.jpg,0,0
302,302,LR,at the right side of,at the left side of,False,True,The broccoli is at the left side of the right side of the pizza.,True,False,False,False,http://images.cocodataset.org/train2017/000000055707.jpg,0,0
309,309,FB,behind,in front of,True,False,The person is in front of the cat.,False,False,True,False,http://images.cocodataset.org/train2017/000000228915.jpg,0,0
301,301,FB,in front of,behind,False,True,The car is behind the truck.,True,False,False,False,http://images.cocodataset.org/train2017/000000279073.jpg,0,0
312,312,FB,behind,in front of,True,False,The dining table is in front of the cat.,False,False,True,"The statement is **False**.

**Reasoning:**
In the image, the cat is positioned in the immediate foreground, very close to the camera. The table (which appears to be a desk) is located behind the cat, further away from the camera. Spatially, the cat is in front of the table",http://images.cocodataset.org/train2017/000000452072.jpg,1,0
315,315,FB,behind,in front of,True,False,The boat is in front of the bicycle.,False,False,True,False,http://images.cocodataset.org/train2017/000000390298.jpg,0,0
297,297,FB,behind,in front of,True,False,The dining table is in front of the person.,False,False,True,False,http://images.cocodataset.org/train2017/000000160459.jpg,0,0
291,291,FB,behind,in front of,False,True,The book is in front of the bus.,True,False,False,"The user wants me to determine if the statement ""The book is in front of the bus"" is true or false based on the image.

1.  **Analyze the image content**: The image shows a group of five people standing in a line in front of a large white bus. The bus has text on it",http://images.cocodataset.org/train2017/000000160407.jpg,1,0
339,339,FB,in front of,behind,False,True,The bed is behind the couch.,True,False,False,False,http://images.cocodataset.org/train2017/000000456302.jpg,0,0
323,323,FB,in front of,behind,True,False,The cat is behind the bicycle.,False,False,True,False,http://images.cocodataset.org/train2017/000000446409.jpg,0,0
357,357,FF,facing,facing away from,True,False,The person is facing away from the bear.,False,False,True,False,http://images.cocodataset.org/train2017/000000541911.jpg,0,0
342,342,LR,at the right side of,at the left side of,False,True,The umbrella is at the left side of the right side of the cat.,True,True,True,"The statement ""The umbrella is at the left side of the right side of the cat"" is **True**.

**Reasoning:**
1.  **""The right side of the cat""**: In the image, the cat is facing the camera. The cat's right side corresponds to the **left side of",http://images.cocodataset.org/train2017/000000158354.jpg,1,0
350,350,FB,behind,in front of,False,True,The dining table is in front of the suitcase.,True,True,True,True,http://images.cocodataset.org/train2017/000000108751.jpg,0,0
348,348,FB,behind,in front of,True,False,The teddy bear is in front of the potted plant.,False,False,True,False,http://images.cocodataset.org/train2017/000000082512.jpg,0,0
362,362,FF,facing,facing away from,False,True,The cat is facing away from the keyboard.,True,False,False,False,http://images.cocodataset.org/train2017/000000530730.jpg,0,0
359,359,FF,facing,facing away from,False,True,The zebra is facing away from the car.,True,False,False,False,http://images.cocodataset.org/train2017/000000473587.jpg,0,0
356,356,FF,facing,facing away from,True,False,The dog is facing away from the boat.,False,False,True,"The statement ""The dog is facing away from the boat"" is **False**.

**Reasoning:**
1.  **Orientation:** The dog is positioned in the center of the boat, facing towards the front (bow) where the other passengers' legs are located. It is facing *into* the boat's",http://images.cocodataset.org/train2017/000000030667.jpg,1,0
364,364,FF,facing,facing away from,False,True,The cat is facing away from the tv.,True,False,False,"The user wants me to determine if the statement ""The cat is facing away from the tv"" is true or false based on the image.

1.  **Analyze the image content**:
    *   **Subject**: A black and white tuxedo cat.
    *   **Object**: A black remote control",http://images.cocodataset.org/val2017/000000476810.jpg,1,0
375,375,FF,facing,facing away from,True,False,The zebra is facing away from the person.,False,False,True,False,http://images.cocodataset.org/train2017/000000263512.jpg,0,0
363,363,LR,at the right side of,at the left side of,False,True,The sandwich is at the left side of the right side of the bowl.,True,False,False,False,http://images.cocodataset.org/train2017/000000116182.jpg,0,0
369,369,LR,at the left side of,at the right side of,False,True,The person is at the right side of the left side of the broccoli.,True,True,True,"The statement ""The person is at the right side of the left side of the broccoli"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The image shows a hand (the person) and a bowl of broccoli.
2.  **Locate the ""left side of the",http://images.cocodataset.org/train2017/000000379552.jpg,1,0
380,380,LR,at the left side of,at the right side of,True,False,The tv is at the right side of the left side of the cat.,False,False,True,"The statement ""The tv is at the right side of the left side of the cat"" is **False**.

Here is the reasoning:
1.  **Identify the objects**: The image shows a TV on the left and a cat on the right.
2.  **Analyze the spatial relationship**: The TV",http://images.cocodataset.org/train2017/000000037907.jpg,1,0
298,298,FB,behind,in front of,True,False,The book is in front of the teddy bear.,False,False,True,False,http://images.cocodataset.org/train2017/000000514292.jpg,0,0
382,382,FF,facing away from,facing,True,False,The elephant is facing the bus.,False,False,True,False,http://images.cocodataset.org/train2017/000000149551.jpg,0,0
385,385,FF,facing,facing away from,False,True,The person is facing away from the teddy bear.,True,False,False,False,http://images.cocodataset.org/train2017/000000317797.jpg,0,0
389,389,LR,left of,right of,True,False,The cat is right of the potted plant.,False,False,True,False,http://images.cocodataset.org/train2017/000000372870.jpg,0,0
259,259,LR,at the left side of,at the right side of,False,True,The laptop is at the right side of the left side of the donut.,True,False,False,"The statement ""The laptop is at the right side of the left side of the donut"" is **False**.

**Reasoning:**
1.  **Identify the objects:** The image shows a donut in the foreground and a black Dell laptop in the background.
2.  **Analyze the spatial",http://images.cocodataset.org/train2017/000000002570.jpg,1,1
361,361,FB,behind,in front of,True,False,The laptop is in front of the sandwich.,False,False,True,False,http://images.cocodataset.org/train2017/000000028320.jpg,0,0
390,390,LR,at the right side of,at the left side of,False,True,The dog is at the left side of the right side of the horse.,True,True,True,"The statement ""The dog is at the left side of the right side of the horse"" is **True**.

**Reasoning:**
1.  **Identify the subjects:** The image shows a dog on the left and a horse on the right.
2.  **Analyze the phrase ""right side of",http://images.cocodataset.org/train2017/000000471929.jpg,1,0
381,381,FB,behind,in front of,False,True,The person is in front of the cup.,True,True,True,"The user wants to know if the statement ""The person is in front of the cup"" is true based on the image.

1.  **Identify the person**: The main subject is a man standing in the center-left of the room, facing towards the right side of the image (towards the TV).
2",http://images.cocodataset.org/train2017/000000486576.jpg,1,0
408,408,FB,in front of,behind,True,False,The horse is behind the person.,False,False,True,False,http://images.cocodataset.org/train2017/000000532748.jpg,0,0
394,394,PP,parallel to,perpendicular to,False,True,The horse is perpendicular to the cow.,True,False,False,"The statement ""The horse is perpendicular to the cow"" is **False**.

**Reasoning:**
1.  **Identification**: The image shows a close-up of a brown horse in the foreground and a blurred animal in the background. The background animal has a white muzzle and greyish fur, which is characteristic of",http://images.cocodataset.org/train2017/000000441774.jpg,1,0
401,401,FB,behind,in front of,True,False,The bench is in front of the teddy bear.,False,False,True,False,http://images.cocodataset.org/train2017/000000002839.jpg,0,0
403,403,FB,in front of,behind,False,True,The hot dog is behind the banana.,True,False,False,False,http://images.cocodataset.org/train2017/000000165639.jpg,0,0
397,397,FB,in front of,behind,True,False,The suitcase is behind the refrigerator.,False,False,True,False,http://images.cocodataset.org/train2017/000000561393.jpg,0,0
410,410,FF,facing,facing away from,False,True,The teddy bear is facing away from the person.,True,True,True,True,http://images.cocodataset.org/val2017/000000439773.jpg,0,0
406,406,FB,at the back of,in front of,True,False,The parking meter is in front of the back of the truck.,False,True,False,True,http://images.cocodataset.org/train2017/000000019185.jpg,0,0
434,434,FB,behind,in front of,True,False,The skateboard is in front of the bed.,False,False,True,False,http://images.cocodataset.org/train2017/000000030895.jpg,0,0
178,178,FB,in front of,behind,True,False,The toilet is behind the truck.,False,False,True,False,http://images.cocodataset.org/train2017/000000127871.jpg,0,0
404,404,LR,at the right side of,at the left side of,False,True,The umbrella is at the left side of the right side of the cat.,True,True,True,"The statement ""The umbrella is at the left side of the right side of the cat"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The image shows a cat lying on cobblestones and a black umbrella (or umbrella tip) on the left side of the image.
",http://images.cocodataset.org/train2017/000000466789.jpg,1,0
399,399,FB,in front of,behind,False,True,The bus is behind the traffic light.,True,False,False,"The user wants me to determine if the statement ""The bus is behind the traffic light"" is true or false based on the image.

1.  **Analyze the image content**:
    *   **Foreground**: A large, black traffic light structure dominates the center and right side of the image. It features a",http://images.cocodataset.org/train2017/000000303765.jpg,1,1
446,446,FB,behind,in front of,True,False,The refrigerator is in front of the person.,False,False,True,False,http://images.cocodataset.org/train2017/000000272253.jpg,0,0
426,426,PP,perpendicular to,parallel to,False,True,The car is parallel to the motorcycle.,True,False,False,"The user wants me to determine if the statement ""The car is parallel to the motorcycle"" is true or false based on the image.

1.  **Identify the objects:**
    *   **Motorcycle:** There is a police motorcycle in the foreground, angled slightly towards the left.
    *   **Car",http://images.cocodataset.org/train2017/000000253054.jpg,1,0
470,470,LR,at the right side of,at the left side of,False,True,The person is at the left side of the right side of the chair.,True,True,True,"The statement ""The person is at the left side of the right side of the chair"" is **True**.

**Reasoning:**
1.  **Identify the Chair's Sides:** The chair has a left side (where the blue elephant is) and a right side (where the zebra is).
",http://images.cocodataset.org/train2017/000000356764.jpg,1,0
421,421,FB,in front of,behind,True,False,The person is behind the bear.,False,False,True,False,http://images.cocodataset.org/train2017/000000290967.jpg,0,0
439,439,FF,facing away from,facing,False,True,The bench is facing the car.,True,False,False,"The statement ""The bench is facing the car"" is **False**.

**Reasoning:**
1.  **Orientation of the Bench:** The wooden bench is positioned horizontally across the image. Its backrest (the slatted part) is at the top, and the seat is at the bottom. This means the",http://images.cocodataset.org/train2017/000000506483.jpg,1,0
420,420,FB,in front of,behind,True,False,The cake is behind the truck.,False,False,True,False,http://images.cocodataset.org/train2017/000000214873.jpg,0,0
471,471,FB,in front of,behind,True,False,The dog is behind the suitcase.,False,False,True,False,http://images.cocodataset.org/train2017/000000402297.jpg,0,0
472,472,FB,in front of,behind,True,False,The suitcase is behind the bench.,False,False,True,False,http://images.cocodataset.org/train2017/000000256533.jpg,0,0
468,468,FB,in front of,behind,True,False,The dining table is behind the cat.,False,False,True,False,http://images.cocodataset.org/train2017/000000349511.jpg,0,0
467,467,FB,behind,in front of,False,True,The laptop is in front of the cat.,True,False,False,False,http://images.cocodataset.org/train2017/000000119360.jpg,0,0
482,482,FB,behind,in front of,True,False,The person is in front of the donut.,False,False,True,False,http://images.cocodataset.org/train2017/000000051522.jpg,0,0
485,485,LR,at the right side of,at the left side of,True,False,The book is at the left side of the right side of the teddy bear.,False,True,False,"The statement ""The book is at the left side of the right side of the teddy bear"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The image shows a teddy bear in the center. To the viewer's right of the bear, there is a table.",http://images.cocodataset.org/train2017/000000503996.jpg,1,0
474,474,LR,at the left side of,at the right side of,True,False,The orange is at the right side of the left side of the bowl.,False,True,False,"The statement ""The orange is at the right side of the left side of the bowl"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The image shows a white bowl containing fruit. The most prominent fruit is a large orange wedge.
2.  **Analyze the spatial",http://images.cocodataset.org/train2017/000000553586.jpg,1,0
483,483,LR,right of,left of,True,False,The handbag is left of the bed.,False,False,True,False,http://images.cocodataset.org/train2017/000000069214.jpg,0,0
480,480,FB,at the back of,in front of,False,True,The zebra is in front of the back of the truck.,True,True,True,"The statement ""The zebra is in front of the back of the truck"" is **True**.

**Reasoning:**
1.  **Identify the objects:** The image shows a zebra in the foreground and a vehicle (a truck or utility cart) in the background on the right side.
2.",http://images.cocodataset.org/train2017/000000341457.jpg,1,1
469,469,FB,in front of,behind,False,True,The wine glass is behind the person.,True,False,False,False,http://images.cocodataset.org/train2017/000000072872.jpg,0,0
37,37,LR,at the right side of,at the left side of,True,False,The orange is at the left side of the right side of the sandwich.,False,,,"The user wants me to verify a spatial statement about the image.

1.  **Identify the objects:**
    *   **Sandwich:** Located in the bottom-left compartment of the lunchbox.
    *   **Orange:** There are mandarin orange segments in the bottom-right compartment.

2.  **An",http://images.cocodataset.org/train2017/000000260248.jpg,1,3
