item_id,relation,statement,image_file,raw_response,parsed_taxonomy,notes
582,facing,The banana is facing the cat.,id582.jpg,intrinsic_orientation_ambiguous,intrinsic_orientation_ambiguous,Bananas lack intrinsic front/back orientation required for facing relationships.
657,facing,The teddy bear is facing the cow.,id657.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,Teddy bear is facing the toy cow.
676,parallel to,The boat is parallel to the truck.,id676.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,Parallel geometric orientation between boat and truck.
834,perpendicular to,The bus is perpendicular to the car.,id834.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,Perpendicular orientation between bus and car.
868,facing away from,The person is facing away from the bear.,id868.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,Person is facing away from the bear.
937,perpendicular to,The zebra is perpendicular to the horse.,id937.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The zebra and horse stand parallel to each other side-by-side rather than perpendicular.
1035,parallel to,The skateboard is parallel to the couch.,id1035.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The longitudinal axis of the skateboard lies diagonally across the couch rather than parallel to it.
1093,facing away from,The laptop is facing away from the chair.,id1093.jpg,intrinsic_orientation_ambiguous,intrinsic_orientation_ambiguous,The front screen and keyboard of the laptop face away from the chair.
1167,facing away from,The dog is facing away from the horse.,id1167.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The dog is standing with its head and body oriented facing away from the horse.
1178,parallel to,The bench is parallel to the person.,id1178.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The main axis of the bench runs parallel to the person's position.
1202,facing,The bird is facing the elephant.,id1202.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The bird's beak and head are oriented facing towards the elephant.
1266,facing away from,The cat is facing away from the bed.,id1266.jpg,intrinsic_orientation_ambiguous,intrinsic_orientation_ambiguous,The cat is sitting facing out towards the room away from the bed structure behind it.
1296,facing away from,The horse is facing away from the zebra.,id1296.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The horse is standing facing away from the zebra in the field.
1312,facing away from,The hair drier is facing away from the person.,id1312.jpg,intrinsic_orientation_ambiguous,intrinsic_orientation_ambiguous,The front nozzle of the hair dryer is pointed away from the person.
1384,parallel to,The person is parallel to the snowboard.,id1384.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,"A person standing on a snowboard is positioned perpendicular to its length, not parallel."
1400,facing away from,The cat is facing away from the suitcase.,id1400.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The cat is turned towards the suitcase rather than facing away.
1405,facing,The teddy bear is facing the book.,id1405.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The front of the teddy bear is oriented directly toward the open book.
1490,facing away from,The laptop is facing away from the person.,id1490.jpg,intrinsic_orientation_ambiguous,intrinsic_orientation_ambiguous,The laptop's display screen faces towards the person using it.
1559,facing,The cat is facing the laptop.,id1559.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The cat is oriented looking straight at the open laptop.
1608,parallel to,The book is parallel to the bed.,id1608.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The edges of the book align parallel with the longitudinal side of the bed.
1611,facing,The cat is facing the backpack.,id1611.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The cat's gaze and front body are oriented towards the backpack.
1662,parallel to,The car is parallel to the motorcycle.,id1662.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The car and motorcycle share parallel directional alignments.
1815,parallel to,The bicycle is parallel to the motorcycle.,id1815.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The bicycle and motorcycle are positioned along parallel orientation vectors.
1905,facing,The teddy bear is facing the person.,id1905.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The teddy bear's face and body front are oriented towards the person.
1939,facing away from,The person is facing away from the refrigerator.,id1939.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The person's back is turned toward the refrigerator.
1953,facing away from,The cow is facing away from the person.,id1953.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,"The cow is oriented with its rear towards the person, heading in the opposite direction."
2034,facing away from,The bench is facing away from the parking meter.,id2034.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,"The seating side of the bench faces forward, away from the parking meter located behind the backrest."
2059,perpendicular to,The car is perpendicular to the motorcycle.,id2059.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The car's principal orientation axis forms a 90-degree angle with the motorcycle.
2151,facing,The bear is facing the person.,id2151.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The bear's front and head are directed toward the person.
