id,relation,statement,image_path,image_url,rating_clean,notes
513,facing,The cat is facing the laptop.,results\iaa\images\id513.jpg,http://images.cocodataset.org/train2017/000000573877.jpg,clean,
523,facing,The teddy bear is facing the book.,results\iaa\images\id523.jpg,http://images.cocodataset.org/train2017/000000361778.jpg,clean,
544,parallel to,The skateboard is parallel to the couch.,results\iaa\images\id544.jpg,http://images.cocodataset.org/train2017/000000170584.jpg,ambiguous,
558,facing away from,The bird is facing away from the cat.,results\iaa\images\id558.jpg,http://images.cocodataset.org/train2017/000000072556.jpg,clean,
564,facing away from,The sheep is facing away from the person.,results\iaa\images\id564.jpg,http://images.cocodataset.org/train2017/000000091656.jpg,ambiguous,
565,perpendicular to,The dog is perpendicular to the couch.,results\iaa\images\id565.jpg,http://images.cocodataset.org/train2017/000000170898.jpg,ambiguous,
582,facing,The banana is facing the cat.,results\iaa\images\id582.jpg,http://images.cocodataset.org/train2017/000000481313.jpg,clean,
594,facing,The book is facing the cat.,results\iaa\images\id594.jpg,http://images.cocodataset.org/train2017/000000499656.jpg,ambiguous,
617,parallel to,The bench is parallel to the person.,results\iaa\images\id617.jpg,http://images.cocodataset.org/train2017/000000012704.jpg,ambiguous,
657,facing,The teddy bear is facing the cow.,results\iaa\images\id657.jpg,http://images.cocodataset.org/train2017/000000285618.jpg,ambiguous,
676,parallel to,The boat is parallel to the truck.,results\iaa\images\id676.jpg,http://images.cocodataset.org/train2017/000000267363.jpg,ambiguous,
728,perpendicular to,The bed is perpendicular to the person.,results\iaa\images\id728.jpg,http://images.cocodataset.org/train2017/000000207826.jpg,ambiguous,
738,facing,The laptop is facing the cat.,results\iaa\images\id738.jpg,http://images.cocodataset.org/train2017/000000501126.jpg,ambiguous,
739,facing,The cat is facing the refrigerator.,results\iaa\images\id739.jpg,http://images.cocodataset.org/train2017/000000477647.jpg,clean,
756,facing,The person is facing the car.,results\iaa\images\id756.jpg,http://images.cocodataset.org/train2017/000000132841.jpg,clean,
757,facing away from,The person is facing away from the laptop.,results\iaa\images\id757.jpg,http://images.cocodataset.org/train2017/000000021365.jpg,clean,
780,parallel to,The motorcycle is parallel to the bus.,results\iaa\images\id780.jpg,http://images.cocodataset.org/train2017/000000308175.jpg,ambiguous,
805,facing,The person is facing the frisbee.,results\iaa\images\id805.jpg,http://images.cocodataset.org/train2017/000000468612.jpg,ambiguous,
834,perpendicular to,The bus is perpendicular to the car.,results\iaa\images\id834.jpg,http://images.cocodataset.org/train2017/000000499267.jpg,ambiguous,
858,facing away from,The cat is facing away from the toilet.,results\iaa\images\id858.jpg,http://images.cocodataset.org/train2017/000000572075.jpg,ambiguous,
859,facing,The cat is facing the sink.,results\iaa\images\id859.jpg,http://images.cocodataset.org/train2017/000000463825.jpg,clean,
860,facing,The zebra is facing the person.,results\iaa\images\id860.jpg,http://images.cocodataset.org/train2017/000000484066.jpg,clean,
868,facing away from,The person is facing away from the bear.,results\iaa\images\id868.jpg,http://images.cocodataset.org/train2017/000000073197.jpg,clean,
911,facing away from,The cat is facing away from the cake.,results\iaa\images\id911.jpg,http://images.cocodataset.org/train2017/000000447741.jpg,clean,
934,parallel to,The motorcycle is parallel to the car.,results\iaa\images\id934.jpg,http://images.cocodataset.org/train2017/000000449889.jpg,ambiguous,
937,perpendicular to,The zebra is perpendicular to the horse.,results\iaa\images\id937.jpg,http://images.cocodataset.org/train2017/000000302924.jpg,clean,
959,facing away from,The cat is facing away from the toilet.,results\iaa\images\id959.jpg,http://images.cocodataset.org/train2017/000000439364.jpg,ambiguous,
984,parallel to,The motorcycle is parallel to the bus.,results\iaa\images\id984.jpg,http://images.cocodataset.org/train2017/000000142774.jpg,clean,
986,facing,The dog is facing the cake.,results\iaa\images\id986.jpg,http://images.cocodataset.org/train2017/000000373396.jpg,clean,
1018,facing away from,The car is facing away from the pizza.,results\iaa\images\id1018.jpg,http://images.cocodataset.org/train2017/000000079798.jpg,ambiguous,
1019,facing,The person is facing the banana.,results\iaa\images\id1019.jpg,http://images.cocodataset.org/val2017/000000550714.jpg,clean,
1020,parallel to,The boat is parallel to the truck.,results\iaa\images\id1020.jpg,http://images.cocodataset.org/train2017/000000562291.jpg,ambiguous,
1035,parallel to,The skateboard is parallel to the couch.,results\iaa\images\id1035.jpg,http://images.cocodataset.org/train2017/000000391685.jpg,clean,
1042,facing away from,The dog is facing away from the fire hydrant.,results\iaa\images\id1042.jpg,http://images.cocodataset.org/train2017/000000198935.jpg,clean,
1078,facing,The dog is facing the horse.,results\iaa\images\id1078.jpg,http://images.cocodataset.org/train2017/000000331503.jpg,ambiguous,
1093,facing away from,The laptop is facing away from the chair.,results\iaa\images\id1093.jpg,http://images.cocodataset.org/train2017/000000131011.jpg,ambiguous,
1132,facing,The person is facing the book.,results\iaa\images\id1132.jpg,http://images.cocodataset.org/train2017/000000527224.jpg,clean,
1158,facing,The refrigerator is facing the cat.,results\iaa\images\id1158.jpg,http://images.cocodataset.org/train2017/000000477647.jpg,clean,
1167,facing away from,The dog is facing away from the horse.,results\iaa\images\id1167.jpg,http://images.cocodataset.org/val2017/000000049269.jpg,clean,
1178,parallel to,The bench is parallel to the person.,results\iaa\images\id1178.jpg,http://images.cocodataset.org/train2017/000000385504.jpg,clean,
1202,facing,The bird is facing the elephant.,results\iaa\images\id1202.jpg,http://images.cocodataset.org/train2017/000000099628.jpg,clean,
1219,facing away from,The person is facing away from the keyboard.,results\iaa\images\id1219.jpg,http://images.cocodataset.org/train2017/000000544046.jpg,clean,
1234,facing,The person is facing the refrigerator.,results\iaa\images\id1234.jpg,http://images.cocodataset.org/train2017/000000214305.jpg,ambiguous,
1243,facing,The cat is facing the teddy bear.,results\iaa\images\id1243.jpg,http://images.cocodataset.org/train2017/000000104510.jpg,ambiguous,
1266,facing away from,The cat is facing away from the bed.,results\iaa\images\id1266.jpg,http://images.cocodataset.org/train2017/000000175383.jpg,ambiguous,
1296,facing away from,The horse is facing away from the zebra.,results\iaa\images\id1296.jpg,http://images.cocodataset.org/train2017/000000568005.jpg,clean,
1308,facing,The tv is facing the toilet.,results\iaa\images\id1308.jpg,http://images.cocodataset.org/train2017/000000028149.jpg,ambiguous,
1312,facing away from,The hair drier is facing away from the person.,results\iaa\images\id1312.jpg,http://images.cocodataset.org/train2017/000000092020.jpg,clean,
1329,facing,The oven is facing the tv.,results\iaa\images\id1329.jpg,http://images.cocodataset.org/train2017/000000164587.jpg,clean,
1338,facing,The cat is facing the keyboard.,results\iaa\images\id1338.jpg,http://images.cocodataset.org/train2017/000000078741.jpg,clean,
1342,facing,The cell phone is facing the person.,results\iaa\images\id1342.jpg,http://images.cocodataset.org/train2017/000000125698.jpg,ambiguous,
1369,facing,The laptop is facing the cat.,results\iaa\images\id1369.jpg,http://images.cocodataset.org/train2017/000000453400.jpg,clean,
1375,facing away from,The cat is facing away from the refrigerator.,results\iaa\images\id1375.jpg,http://images.cocodataset.org/train2017/000000423921.jpg,clean,
1376,facing,The laptop is facing the cat.,results\iaa\images\id1376.jpg,http://images.cocodataset.org/train2017/000000491250.jpg,clean,
1380,parallel to,The train is parallel to the boat.,results\iaa\images\id1380.jpg,http://images.cocodataset.org/train2017/000000507535.jpg,ambiguous,
1384,parallel to,The person is parallel to the snowboard.,results\iaa\images\id1384.jpg,http://images.cocodataset.org/train2017/000000409025.jpg,ambiguous,
1400,facing away from,The cat is facing away from the suitcase.,results\iaa\images\id1400.jpg,http://images.cocodataset.org/train2017/000000159118.jpg,clean,
1405,facing,The teddy bear is facing the book.,results\iaa\images\id1405.jpg,http://images.cocodataset.org/train2017/000000369653.jpg,ambiguous,
1450,facing,The person is facing the bear.,results\iaa\images\id1450.jpg,http://images.cocodataset.org/val2017/000000390826.jpg,ambiguous,
1457,facing,The cow is facing the chair.,results\iaa\images\id1457.jpg,http://images.cocodataset.org/train2017/000000316536.jpg,ambiguous,
1490,facing away from,The laptop is facing away from the person.,results\iaa\images\id1490.jpg,http://images.cocodataset.org/train2017/000000517967.jpg,clean,
1559,facing,The cat is facing the laptop.,results\iaa\images\id1559.jpg,http://images.cocodataset.org/train2017/000000369208.jpg,clean,
1592,facing away from,The dog is facing away from the person.,results\iaa\images\id1592.jpg,http://images.cocodataset.org/train2017/000000542165.jpg,ambiguous,
1608,parallel to,The book is parallel to the bed.,results\iaa\images\id1608.jpg,http://images.cocodataset.org/train2017/000000364725.jpg,ambiguous,
1611,facing,The cat is facing the backpack.,results\iaa\images\id1611.jpg,http://images.cocodataset.org/train2017/000000207093.jpg,clean,
1617,facing,The cow is facing the bench.,results\iaa\images\id1617.jpg,http://images.cocodataset.org/train2017/000000182032.jpg,ambiguous,
1650,facing,The chair is facing the hot dog.,results\iaa\images\id1650.jpg,http://images.cocodataset.org/train2017/000000257073.jpg,ambiguous,
1662,parallel to,The car is parallel to the motorcycle.,results\iaa\images\id1662.jpg,http://images.cocodataset.org/train2017/000000326689.jpg,clean,
1663,perpendicular to,The knife is perpendicular to the carrot.,results\iaa\images\id1663.jpg,http://images.cocodataset.org/train2017/000000213881.jpg,clean,
1682,perpendicular to,The cow is perpendicular to the motorcycle.,results\iaa\images\id1682.jpg,http://images.cocodataset.org/train2017/000000186275.jpg,clean,
1760,facing,The person is facing the bed.,results\iaa\images\id1760.jpg,http://images.cocodataset.org/train2017/000000514254.jpg,clean,
1773,facing away from,The cat is facing away from the bed.,results\iaa\images\id1773.jpg,http://images.cocodataset.org/train2017/000000293276.jpg,ambiguous,
1775,perpendicular to,The book is perpendicular to the bed.,results\iaa\images\id1775.jpg,http://images.cocodataset.org/train2017/000000420450.jpg,ambiguous,
1792,facing,The cat is facing the person.,results\iaa\images\id1792.jpg,http://images.cocodataset.org/train2017/000000434385.jpg,ambiguous,
1810,facing,The bus is facing the dining table.,results\iaa\images\id1810.jpg,http://images.cocodataset.org/train2017/000000131361.jpg,ambiguous,
1815,parallel to,The bicycle is parallel to the motorcycle.,results\iaa\images\id1815.jpg,http://images.cocodataset.org/train2017/000000223930.jpg,clean,
1816,facing,The book is facing the cat.,results\iaa\images\id1816.jpg,http://images.cocodataset.org/train2017/000000481313.jpg,clean,
1822,facing,The cat is facing the tv.,results\iaa\images\id1822.jpg,http://images.cocodataset.org/train2017/000000070033.jpg,clean,
1839,perpendicular to,The train is perpendicular to the bus.,results\iaa\images\id1839.jpg,http://images.cocodataset.org/train2017/000000409009.jpg,ambiguous,
1877,facing,The laptop is facing the person.,results\iaa\images\id1877.jpg,http://images.cocodataset.org/train2017/000000578572.jpg,clean,
1893,facing,The teddy bear is facing the dog.,results\iaa\images\id1893.jpg,http://images.cocodataset.org/train2017/000000135202.jpg,clean,
1905,facing,The teddy bear is facing the person.,results\iaa\images\id1905.jpg,http://images.cocodataset.org/train2017/000000002839.jpg,ambiguous,
1910,facing away from,The person is facing away from the toaster.,results\iaa\images\id1910.jpg,http://images.cocodataset.org/train2017/000000174496.jpg,ambiguous,
1911,facing away from,The bench is facing away from the parking meter.,results\iaa\images\id1911.jpg,http://images.cocodataset.org/val2017/000000333956.jpg,ambiguous,
1928,facing,The umbrella is facing the bed.,results\iaa\images\id1928.jpg,http://images.cocodataset.org/train2017/000000553361.jpg,ambiguous,
1934,facing,The person is facing the laptop.,results\iaa\images\id1934.jpg,http://images.cocodataset.org/train2017/000000294083.jpg,clean,
1939,facing away from,The person is facing away from the refrigerator.,results\iaa\images\id1939.jpg,http://images.cocodataset.org/train2017/000000272253.jpg,clean,
1942,parallel to,The motorcycle is parallel to the bus.,results\iaa\images\id1942.jpg,http://images.cocodataset.org/train2017/000000055303.jpg,ambiguous,
1949,facing,The cow is facing the dog.,results\iaa\images\id1949.jpg,http://images.cocodataset.org/train2017/000000036345.jpg,clean,
1953,facing away from,The cow is facing away from the person.,results\iaa\images\id1953.jpg,http://images.cocodataset.org/train2017/000000146236.jpg,clean,
1997,facing away from,The cat is facing away from the toilet.,results\iaa\images\id1997.jpg,http://images.cocodataset.org/train2017/000000439486.jpg,clean,
1999,facing,The refrigerator is facing the person.,results\iaa\images\id1999.jpg,http://images.cocodataset.org/train2017/000000116334.jpg,clean,
2000,facing away from,The cat is facing away from the tv.,results\iaa\images\id2000.jpg,http://images.cocodataset.org/train2017/000000087456.jpg,clean,
2009,parallel to,The dining table is parallel to the bench.,results\iaa\images\id2009.jpg,http://images.cocodataset.org/train2017/000000472930.jpg,clean,
2015,facing away from,The couch is facing away from the laptop.,results\iaa\images\id2015.jpg,http://images.cocodataset.org/train2017/000000455975.jpg,ambiguous,
2034,facing away from,The bench is facing away from the parking meter.,results\iaa\images\id2034.jpg,http://images.cocodataset.org/train2017/000000544094.jpg,ambiguous,
2059,perpendicular to,The car is perpendicular to the motorcycle.,results\iaa\images\id2059.jpg,http://images.cocodataset.org/train2017/000000385145.jpg,ambiguous,
2100,facing,The bird is facing the book.,results\iaa\images\id2100.jpg,http://images.cocodataset.org/train2017/000000176180.jpg,clean,
2124,parallel to,The motorcycle is parallel to the car.,results\iaa\images\id2124.jpg,http://images.cocodataset.org/train2017/000000540187.jpg,clean,
2141,parallel to,The bed is parallel to the bicycle.,results\iaa\images\id2141.jpg,http://images.cocodataset.org/train2017/000000002139.jpg,clean,
2151,facing,The bear is facing the person.,results\iaa\images\id2151.jpg,http://images.cocodataset.org/train2017/000000015391.jpg,ambiguous,
2160,facing,The person is facing the dining table.,results\iaa\images\id2160.jpg,http://images.cocodataset.org/train2017/000000042042.jpg,clean,
2165,facing,The cat is facing the laptop.,results\iaa\images\id2165.jpg,http://images.cocodataset.org/train2017/000000407386.jpg,clean,
2189,facing,The bear is facing the teddy bear.,results\iaa\images\id2189.jpg,http://images.cocodataset.org/train2017/000000107571.jpg,ambiguous,
