id,statement,relation,ground_truth,prediction,correct,raw_output,image_url
87,The bus is far away from the train.,far away from,False,True,False, True,http://images.cocodataset.org/train2017/000000434867.jpg
88,The laptop is inside the train.,inside,True,True,True, True,http://images.cocodataset.org/train2017/000000224670.jpg
89,The cat is at the edge of the umbrella.,at the edge of,True,True,True, True,http://images.cocodataset.org/train2017/000000158798.jpg
90,The person is touching the dining table.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000243970.jpg
91,The toilet is below the cat.,below,True,True,True, True,http://images.cocodataset.org/train2017/000000258523.jpg
92,The dog is in the car.,in,True,True,True, True,http://images.cocodataset.org/val2017/000000151962.jpg
93,The bed is under the umbrella.,under,True,True,True, True,http://images.cocodataset.org/train2017/000000263968.jpg
94,The laptop is above the cat.,above,False,True,False, True,http://images.cocodataset.org/train2017/000000047848.jpg
95,The teddy bear is at the right side of the dog.,at the right side of,False,True,False, True,http://images.cocodataset.org/train2017/000000157616.jpg
96,The backpack is away from the bed.,away from,False,True,False, True,http://images.cocodataset.org/train2017/000000296696.jpg
97,The surfboard is on the truck.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000313957.jpg
98,The pizza is at the edge of the dining table.,at the edge of,False,True,False, True,http://images.cocodataset.org/train2017/000000021563.jpg
99,The suitcase is beside the cat.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000468951.jpg
100,The book is beside the cat.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000403231.jpg
101,The cat is in the sink.,in,False,False,True, False,http://images.cocodataset.org/train2017/000000018819.jpg
102,The refrigerator contains the dog.,contains,True,True,True, True,http://images.cocodataset.org/train2017/000000350851.jpg
103,The couch is near the dog.,near,True,True,True, True,http://images.cocodataset.org/train2017/000000286480.jpg
104,The pizza is below the cell phone.,below,False,True,False, True,http://images.cocodataset.org/train2017/000000435920.jpg
105,The person is above the giraffe.,above,True,True,True, True,http://images.cocodataset.org/train2017/000000578671.jpg
106,The parking meter is facing away from the person.,facing away from,False,True,False, True,http://images.cocodataset.org/train2017/000000567205.jpg
107,The dining table is at the right side of the refrigerator.,at the right side of,True,True,True, True,http://images.cocodataset.org/train2017/000000240709.jpg
108,The cake is ahead of the apple.,ahead of,True,True,True, True,http://images.cocodataset.org/train2017/000000020908.jpg
109,The bicycle is in front of the umbrella.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000205613.jpg
110,The keyboard is at the right side of the apple.,at the right side of,True,True,True, True,http://images.cocodataset.org/train2017/000000511644.jpg
111,The person is surrounding the banana.,surrounding,False,False,True, False,http://images.cocodataset.org/train2017/000000119729.jpg
112,The dog is in the middle of the bed.,in the middle of,True,True,True, True,http://images.cocodataset.org/train2017/000000016297.jpg
113,The person is touching the cat.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000101348.jpg
114,The person is facing the book.,facing,False,True,False, True,http://images.cocodataset.org/train2017/000000040114.jpg
115,The handbag is on the person.,on,False,True,False, True,http://images.cocodataset.org/train2017/000000570560.jpg
116,The person is touching the teddy bear.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000387358.jpg
117,The teddy bear is beneath the person.,beneath,True,True,True, True,http://images.cocodataset.org/train2017/000000332833.jpg
118,The cell phone is at the right side of the person.,at the right side of,False,False,True, False,http://images.cocodataset.org/train2017/000000109488.jpg
119,The dog is on the surfboard.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000372029.jpg
120,The cake is alongside the laptop.,alongside,True,True,True, True,http://images.cocodataset.org/train2017/000000518592.jpg
121,The bed is touching the cat.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000067995.jpg
122,The tv is across from the boat.,across from,True,True,True, True,http://images.cocodataset.org/train2017/000000024215.jpg
123,The bed is inside the truck.,inside,True,True,True, True,http://images.cocodataset.org/val2017/000000235399.jpg
124,The bus is in front of the car.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000244421.jpg
125,The horse is right of the person.,right of,False,True,False, True,http://images.cocodataset.org/train2017/000000532748.jpg
126,The couch is in front of the bed.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000305660.jpg
127,The cat is close to the tv.,close to,False,False,True, False,http://images.cocodataset.org/train2017/000000004622.jpg
128,The laptop is off the pizza.,off,False,True,False, True,http://images.cocodataset.org/train2017/000000022953.jpg
129,The person is beneath the remote.,beneath,False,True,False, True,http://images.cocodataset.org/train2017/000000572296.jpg
130,The hot dog is in the bowl.,in,True,True,True, True,http://images.cocodataset.org/train2017/000000428299.jpg
131,The cat is on top of the suitcase.,on top of,False,True,False, True,http://images.cocodataset.org/train2017/000000137413.jpg
132,The person is against the couch.,against,True,True,True, True,http://images.cocodataset.org/train2017/000000465143.jpg
133,The chair is touching the bird.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000430238.jpg
134,The bench is under the dog.,under,False,True,False, True,http://images.cocodataset.org/val2017/000000549220.jpg
135,The teddy bear is on top of the cake.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000479563.jpg
136,The hot dog is far away from the bench.,far away from,False,False,True, False,http://images.cocodataset.org/train2017/000000292661.jpg
137,The person is touching the refrigerator.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000518321.jpg
138,The book is on the teddy bear.,on,False,True,False, True,http://images.cocodataset.org/train2017/000000434672.jpg
139,The pizza is behind the sandwich.,behind,False,False,True, False,http://images.cocodataset.org/train2017/000000501756.jpg
140,The bench is on the boat.,on,True,False,False, False,http://images.cocodataset.org/train2017/000000082678.jpg
141,The cat is into the handbag.,into,True,True,True, True,http://images.cocodataset.org/train2017/000000527529.jpg
142,The horse is behind the cat.,behind,True,True,True, True,http://images.cocodataset.org/train2017/000000485148.jpg
143,The cow is below the person.,below,True,True,True, True,http://images.cocodataset.org/train2017/000000120007.jpg
144,The oven is below the pizza.,below,True,True,True, True,http://images.cocodataset.org/train2017/000000001536.jpg
145,The bench is over the cat.,over,False,True,False, True,http://images.cocodataset.org/train2017/000000107188.jpg
146,The dog is under the chair.,under,False,True,False, True,http://images.cocodataset.org/train2017/000000146623.jpg
147,The person is touching the refrigerator.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000407617.jpg
148,The handbag is under the cat.,under,False,True,False, True,http://images.cocodataset.org/train2017/000000470862.jpg
149,The sandwich is touching the person.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000492164.jpg
150,The bed is under the teddy bear.,under,True,True,True, True,http://images.cocodataset.org/train2017/000000580274.jpg
151,The pizza is off the dining table.,off,False,True,False, True,http://images.cocodataset.org/train2017/000000432035.jpg
152,The boat is on the truck.,on,False,False,True, False,http://images.cocodataset.org/train2017/000000246233.jpg
153,The cat is in front of the refrigerator.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000117774.jpg
154,The bus is behind the bicycle.,behind,True,True,True, True,http://images.cocodataset.org/train2017/000000469728.jpg
155,The person is on the horse.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000460033.jpg
156,The person is facing away from the horse.,facing away from,True,True,True, True,http://images.cocodataset.org/train2017/000000004972.jpg
157,The chair is left of the teddy bear.,left of,True,True,True, True,http://images.cocodataset.org/train2017/000000531568.jpg
158,The cow is far away from the truck.,far away from,True,True,True, True,http://images.cocodataset.org/train2017/000000484341.jpg
159,The teddy bear is next to the wine glass.,next to,False,False,True, False,http://images.cocodataset.org/train2017/000000439117.jpg
160,The vase is behind the cat.,behind,False,False,True, False,http://images.cocodataset.org/train2017/000000261225.jpg
161,The cat is at the edge of the laptop.,at the edge of,True,True,True, True,http://images.cocodataset.org/train2017/000000569310.jpg
162,The laptop is at the edge of the dining table.,at the edge of,False,True,False, True,http://images.cocodataset.org/train2017/000000372381.jpg
163,The hot dog is far away from the bench.,far away from,False,False,True, False,http://images.cocodataset.org/train2017/000000330955.jpg
164,The bed is under the suitcase.,under,False,False,True, False,http://images.cocodataset.org/train2017/000000348816.jpg
165,The elephant is in front of the truck.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000027989.jpg
166,The bed is beside the bench.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000268227.jpg
167,The person is touching the suitcase.,touching,False,True,False, True,http://images.cocodataset.org/val2017/000000375278.jpg
168,The surfboard is connected to the truck.,connected to,False,False,True, False,http://images.cocodataset.org/train2017/000000083580.jpg
169,The potted plant is at the side of the bench.,at the side of,True,True,True, True,http://images.cocodataset.org/train2017/000000139967.jpg
170,The person is facing away from the cow.,facing away from,False,True,False, True,http://images.cocodataset.org/train2017/000000221771.jpg
171,The teddy bear is facing the cow.,facing,True,True,True, True,http://images.cocodataset.org/train2017/000000459644.jpg
172,The cat is away from the apple.,away from,True,True,True, True,http://images.cocodataset.org/train2017/000000389011.jpg
173,The cat is touching the keyboard.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000407390.jpg
174,The cat is on top of the laptop.,on top of,False,True,False, True,http://images.cocodataset.org/train2017/000000452072.jpg
175,The person is away from the cake.,away from,True,False,False, False,http://images.cocodataset.org/train2017/000000398153.jpg
176,The couch is touching the cat.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000404754.jpg
177,The bicycle is in front of the cat.,in front of,True,True,True, True,http://images.cocodataset.org/val2017/000000109055.jpg
178,The toilet is in front of the truck.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000127871.jpg
179,The bicycle is touching the bed.,touching,True,True,True, True,http://images.cocodataset.org/val2017/000000274687.jpg
180,The suitcase is beneath the cat.,beneath,True,True,True, True,http://images.cocodataset.org/train2017/000000391632.jpg
181,The cup is at the right side of the cat.,at the right side of,True,True,True, True,http://images.cocodataset.org/train2017/000000248461.jpg
182,The suitcase is within the cat.,within,False,True,False, True,http://images.cocodataset.org/train2017/000000103582.jpg
183,The cat is at the pizza.,at,True,True,True, True,http://images.cocodataset.org/train2017/000000437857.jpg
184,The boat is in the tv.,in,True,True,True, True,http://images.cocodataset.org/train2017/000000344507.jpg
185,The truck is beneath the couch.,beneath,True,True,True, True,http://images.cocodataset.org/train2017/000000357537.jpg
186,The couch is on top of the truck.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000408975.jpg
187,The dog is in front of the sports ball.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000284772.jpg
188,The person is touching the dining table.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000207475.jpg
189,The bus is parallel to the motorcycle.,parallel to,True,True,True, True,http://images.cocodataset.org/train2017/000000087705.jpg
190,The banana is at the left side of the cat.,at the left side of,True,False,False, False,http://images.cocodataset.org/train2017/000000259475.jpg
191,The sheep is inside the bottle.,inside,True,True,True, True,http://images.cocodataset.org/train2017/000000192236.jpg
192,The bed is adjacent to the couch.,adjacent to,False,False,True, False,http://images.cocodataset.org/train2017/000000221515.jpg
193,The dog is next to the book.,next to,True,False,False, False,http://images.cocodataset.org/train2017/000000183453.jpg
194,The couch is at the right side of the umbrella.,at the right side of,False,True,False, True,http://images.cocodataset.org/train2017/000000428329.jpg
195,The toilet is left of the cat.,left of,True,True,True, True,http://images.cocodataset.org/train2017/000000063950.jpg
196,The banana is over the person.,over,False,True,False, True,http://images.cocodataset.org/train2017/000000182812.jpg
197,The person is touching the cow.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000515186.jpg
198,The dining table is at the right side of the person.,at the right side of,False,False,True, False,http://images.cocodataset.org/train2017/000000362966.jpg
199,The keyboard is below the apple.,below,True,True,True, True,http://images.cocodataset.org/train2017/000000203673.jpg
200,The car is above the cat.,above,True,False,False, False,http://images.cocodataset.org/train2017/000000230224.jpg
201,The microwave is above the laptop.,above,False,True,False, True,http://images.cocodataset.org/val2017/000000160556.jpg
202,The bed is touching the laptop.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000522360.jpg
203,The donut is through the dog.,through,False,True,False, True,http://images.cocodataset.org/train2017/000000475967.jpg
204,The cat is on top of the handbag.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000470521.jpg
205,The cat is on top of the dining table.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000568171.jpg
206,The suitcase is in front of the person.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000261779.jpg
207,The cat is at the right side of the bed.,at the right side of,True,True,True, True,http://images.cocodataset.org/val2017/000000134882.jpg
208,The cat is touching the dining table.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000009735.jpg
209,The car is far away from the cake.,far away from,True,False,False, False,http://images.cocodataset.org/train2017/000000108303.jpg
210,The pizza is right of the bottle.,right of,True,True,True, True,http://images.cocodataset.org/train2017/000000342259.jpg
211,The bus is facing away from the cow.,facing away from,True,True,True, True,http://images.cocodataset.org/train2017/000000162355.jpg
212,The book is below the bird.,below,False,False,True, False,http://images.cocodataset.org/train2017/000000028134.jpg
213,The laptop is facing the sandwich.,facing,True,True,True, True,http://images.cocodataset.org/train2017/000000302643.jpg
214,The cat is in the backpack.,in,True,True,True, True,http://images.cocodataset.org/train2017/000000477673.jpg
215,The person is at the right side of the cake.,at the right side of,False,False,True, False,http://images.cocodataset.org/train2017/000000046441.jpg
216,The horse is on top of the chair.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000407220.jpg
217,The dog is inside the bus.,inside,False,False,True, False,http://images.cocodataset.org/train2017/000000033444.jpg
218,The person is far from the bear.,far from,True,True,True, True,http://images.cocodataset.org/train2017/000000283942.jpg
219,The bird is on top of the clock.,on top of,False,True,False, True,http://images.cocodataset.org/train2017/000000510781.jpg
220,The person is alongside the teddy bear.,alongside,True,True,True, True,http://images.cocodataset.org/train2017/000000153892.jpg
221,The person is on top of the couch.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000344814.jpg
222,The pizza is above the oven.,above,True,True,True, True,http://images.cocodataset.org/train2017/000000419473.jpg
223,The dog is on the couch.,on,False,True,False, True,http://images.cocodataset.org/train2017/000000283940.jpg
224,The person is touching the pizza.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000102330.jpg
225,The person is away from the sandwich.,away from,False,True,False, True,http://images.cocodataset.org/train2017/000000324513.jpg
226,The cat is with the teddy bear.,with,False,False,True, False,http://images.cocodataset.org/val2017/000000520531.jpg
227,The cow is in the truck.,in,False,False,True, False,http://images.cocodataset.org/train2017/000000486506.jpg
228,The cat is touching the banana.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000066413.jpg
229,The dog is under the chair.,under,True,True,True, True,http://images.cocodataset.org/train2017/000000579591.jpg
230,The teddy bear is facing away from the book.,facing away from,False,True,False, True,http://images.cocodataset.org/train2017/000000089870.jpg
231,The cow is above the cup.,above,True,True,True, True,http://images.cocodataset.org/train2017/000000576084.jpg
232,The person is behind the bear.,behind,True,True,True, True,http://images.cocodataset.org/train2017/000000497662.jpg
233,The dog is on the couch.,on,False,False,True, False,http://images.cocodataset.org/train2017/000000282287.jpg
234,The book is on top of the teddy bear.,on top of,False,False,True, False,http://images.cocodataset.org/train2017/000000148977.jpg
235,The teddy bear is on top of the bed.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000010395.jpg
236,The tv is under the cat.,under,True,False,False, False,http://images.cocodataset.org/train2017/000000379612.jpg
237,The cat is in the sink.,in,False,False,True, False,http://images.cocodataset.org/train2017/000000467675.jpg
238,The person is in the middle of the bed.,in the middle of,False,True,False, True,http://images.cocodataset.org/train2017/000000281475.jpg
239,The cat is facing away from the toilet.,facing away from,True,True,True, True,http://images.cocodataset.org/train2017/000000518156.jpg
240,The oven is beneath the sandwich.,beneath,True,False,False, False,http://images.cocodataset.org/val2017/000000046463.jpg
241,The laptop is beside the teddy bear.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000113132.jpg
242,The cat is away from the couch.,away from,False,False,True, False,http://images.cocodataset.org/train2017/000000477137.jpg
243,The banana is touching the motorcycle.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000414258.jpg
244,The cake is at the right side of the laptop.,at the right side of,True,True,True, True,http://images.cocodataset.org/train2017/000000393375.jpg
245,The truck is next to the motorcycle.,next to,True,True,True, True,http://images.cocodataset.org/train2017/000000137681.jpg
246,The couch is touching the bear.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000107571.jpg
247,The teddy bear is at the left side of the cat.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000484174.jpg
248,The truck is in front of the giraffe.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000053748.jpg
249,The person is against the couch.,against,False,True,False, True,http://images.cocodataset.org/train2017/000000250400.jpg
250,The laptop is facing the chair.,facing,True,True,True, True,http://images.cocodataset.org/train2017/000000066376.jpg
251,The person is right of the refrigerator.,right of,False,True,False, True,http://images.cocodataset.org/train2017/000000462151.jpg
252,The bear is on the cake.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000536517.jpg
253,The book is at the edge of the bench.,at the edge of,True,True,True, True,http://images.cocodataset.org/train2017/000000273772.jpg
254,The apple is on top of the orange.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000273288.jpg
255,The cat is surrounding the remote.,surrounding,False,True,False, True,http://images.cocodataset.org/train2017/000000373623.jpg
256,The sink is in front of the person.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000571334.jpg
257,The cat is on top of the pizza.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000196480.jpg
258,The person is touching the teddy bear.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000438258.jpg
259,The laptop is at the left side of the donut.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000002570.jpg
260,The hot dog is in front of the banana.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000029794.jpg
261,The bench is under the teddy bear.,under,True,True,True, True,http://images.cocodataset.org/train2017/000000147333.jpg
262,The tv is beneath the cat.,beneath,False,False,True, False,http://images.cocodataset.org/train2017/000000469317.jpg
263,The motorcycle is below the umbrella.,below,False,False,True, False,http://images.cocodataset.org/train2017/000000575931.jpg
264,The cow is in front of the person.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000316536.jpg
265,The bed is off the teddy bear.,off,True,True,True, True,http://images.cocodataset.org/train2017/000000422803.jpg
266,The person is close to the cake.,close to,True,True,True, True,http://images.cocodataset.org/train2017/000000111911.jpg
267,The bus is in front of the boat.,in front of,True,True,True, True,http://images.cocodataset.org/val2017/000000449432.jpg
268,The truck is on top of the car.,on top of,False,True,False, True,http://images.cocodataset.org/train2017/000000004212.jpg
269,The cat is into the handbag.,into,False,True,False, True,http://images.cocodataset.org/train2017/000000122109.jpg
270,The teddy bear is enclosed by the chair.,enclosed by,True,True,True, True,http://images.cocodataset.org/train2017/000000011222.jpg
271,The microwave is behind the person.,behind,False,True,False, True,http://images.cocodataset.org/train2017/000000264255.jpg
272,The suitcase contains the cat.,contains,False,True,False, True,http://images.cocodataset.org/val2017/000000432468.jpg
