orig_idx,family,orig_rel,flip_rel,statement,orig_label,flip_label,image,flip_prediction
194,LR,at the right side of,at the left side of,The couch is at the left side of the right side of the umbrella.,False,True,http://images.cocodataset.org/train2017/000000428329.jpg,False
195,LR,left of,right of,The toilet is right of the cat.,True,False,http://images.cocodataset.org/train2017/000000063950.jpg,False
198,LR,at the right side of,at the left side of,The dining table is at the left side of the right side of the person.,False,True,http://images.cocodataset.org/train2017/000000362966.jpg,False
206,FB,in front of,behind,The suitcase is behind the person.,False,True,http://images.cocodataset.org/train2017/000000261779.jpg,False
207,LR,at the right side of,at the left side of,The cat is at the left side of the right side of the bed.,True,False,http://images.cocodataset.org/val2017/000000134882.jpg,False
210,LR,right of,left of,The pizza is left of the bottle.,True,False,http://images.cocodataset.org/train2017/000000342259.jpg,False
211,FF,facing away from,facing,The bus is facing the cow.,True,False,http://images.cocodataset.org/train2017/000000162355.jpg,False
213,FF,facing,facing away from,The laptop is facing away from the sandwich.,True,False,http://images.cocodataset.org/train2017/000000302643.jpg,False
215,LR,at the right side of,at the left side of,The person is at the left side of the right side of the cake.,False,True,http://images.cocodataset.org/train2017/000000046441.jpg,False
230,FF,facing away from,facing,The teddy bear is facing the book.,False,True,http://images.cocodataset.org/train2017/000000089870.jpg,False
232,FB,behind,in front of,The person is in front of the bear.,True,False,http://images.cocodataset.org/train2017/000000497662.jpg,False
239,FF,facing away from,facing,The cat is facing the toilet.,True,False,http://images.cocodataset.org/train2017/000000518156.jpg,False
244,LR,at the right side of,at the left side of,The cake is at the left side of the right side of the laptop.,True,False,http://images.cocodataset.org/train2017/000000393375.jpg,False
247,LR,at the left side of,at the right side of,The teddy bear is at the right side of the left side of the cat.,True,False,http://images.cocodataset.org/train2017/000000484174.jpg,False
248,FB,in front of,behind,The truck is behind the giraffe.,True,False,http://images.cocodataset.org/train2017/000000053748.jpg,False
250,FF,facing,facing away from,The laptop is facing away from the chair.,True,False,http://images.cocodataset.org/train2017/000000066376.jpg,False
251,LR,right of,left of,The person is left of the refrigerator.,False,True,http://images.cocodataset.org/train2017/000000462151.jpg,False
256,FB,in front of,behind,The sink is behind the person.,True,False,http://images.cocodataset.org/train2017/000000571334.jpg,False
259,LR,at the left side of,at the right side of,The laptop is at the right side of the left side of the donut.,False,True,http://images.cocodataset.org/train2017/000000002570.jpg,False
260,FB,in front of,behind,The hot dog is behind the banana.,True,False,http://images.cocodataset.org/train2017/000000029794.jpg,False
264,FB,in front of,behind,The cow is behind the person.,True,False,http://images.cocodataset.org/train2017/000000316536.jpg,True
267,FB,in front of,behind,The bus is behind the boat.,True,False,http://images.cocodataset.org/val2017/000000449432.jpg,False
271,FB,behind,in front of,The microwave is in front of the person.,False,True,http://images.cocodataset.org/train2017/000000264255.jpg,True
273,LR,at the right side of,at the left side of,The cake is at the left side of the right side of the apple.,False,True,http://images.cocodataset.org/train2017/000000071664.jpg,False
278,FB,behind,in front of,The car is in front of the teddy bear.,False,True,http://images.cocodataset.org/train2017/000000151764.jpg,False
279,FB,in front of,behind,The dining table is behind the person.,False,True,http://images.cocodataset.org/train2017/000000126625.jpg,True
280,FF,facing,facing away from,The person is facing away from the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000041753.jpg,False
282,FB,behind,in front of,The chair is in front of the person.,True,False,http://images.cocodataset.org/train2017/000000540765.jpg,False
284,LR,at the right side of,at the left side of,The laptop is at the left side of the right side of the apple.,False,True,http://images.cocodataset.org/train2017/000000579201.jpg,False
288,LR,right of,left of,The bench is left of the bed.,True,False,http://images.cocodataset.org/train2017/000000262118.jpg,False
291,FB,behind,in front of,The book is in front of the bus.,False,True,http://images.cocodataset.org/train2017/000000160407.jpg,False
297,FB,behind,in front of,The dining table is in front of the person.,True,False,http://images.cocodataset.org/train2017/000000160459.jpg,False
298,FB,behind,in front of,The book is in front of the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000514292.jpg,False
301,FB,in front of,behind,The car is behind the truck.,False,True,http://images.cocodataset.org/train2017/000000279073.jpg,False
302,LR,at the right side of,at the left side of,The broccoli is at the left side of the right side of the pizza.,False,True,http://images.cocodataset.org/train2017/000000055707.jpg,False
309,FB,behind,in front of,The person is in front of the cat.,True,False,http://images.cocodataset.org/train2017/000000228915.jpg,False
312,FB,behind,in front of,The dining table is in front of the cat.,True,False,http://images.cocodataset.org/train2017/000000452072.jpg,False
315,FB,behind,in front of,The boat is in front of the bicycle.,True,False,http://images.cocodataset.org/train2017/000000390298.jpg,False
323,FB,in front of,behind,The cat is behind the bicycle.,True,False,http://images.cocodataset.org/train2017/000000446409.jpg,False
333,FB,behind,in front of,The fire hydrant is in front of the bird.,False,True,http://images.cocodataset.org/train2017/000000572804.jpg,False
339,FB,in front of,behind,The bed is behind the couch.,False,True,http://images.cocodataset.org/train2017/000000456302.jpg,False
342,LR,at the right side of,at the left side of,The umbrella is at the left side of the right side of the cat.,False,True,http://images.cocodataset.org/train2017/000000158354.jpg,False
348,FB,behind,in front of,The teddy bear is in front of the potted plant.,True,False,http://images.cocodataset.org/train2017/000000082512.jpg,False
350,FB,behind,in front of,The dining table is in front of the suitcase.,False,True,http://images.cocodataset.org/train2017/000000108751.jpg,True
356,FF,facing,facing away from,The dog is facing away from the boat.,True,False,http://images.cocodataset.org/train2017/000000030667.jpg,False
357,FF,facing,facing away from,The person is facing away from the bear.,True,False,http://images.cocodataset.org/train2017/000000541911.jpg,False
359,FF,facing,facing away from,The zebra is facing away from the car.,False,True,http://images.cocodataset.org/train2017/000000473587.jpg,False
361,FB,behind,in front of,The laptop is in front of the sandwich.,True,False,http://images.cocodataset.org/train2017/000000028320.jpg,False
362,FF,facing,facing away from,The cat is facing away from the keyboard.,False,True,http://images.cocodataset.org/train2017/000000530730.jpg,True
363,LR,at the right side of,at the left side of,The sandwich is at the left side of the right side of the bowl.,False,True,http://images.cocodataset.org/train2017/000000116182.jpg,False
364,FF,facing,facing away from,The cat is facing away from the tv.,False,True,http://images.cocodataset.org/val2017/000000476810.jpg,False
369,LR,at the left side of,at the right side of,The person is at the right side of the left side of the broccoli.,False,True,http://images.cocodataset.org/train2017/000000379552.jpg,False
375,FF,facing,facing away from,The zebra is facing away from the person.,True,False,http://images.cocodataset.org/train2017/000000263512.jpg,False
380,LR,at the left side of,at the right side of,The tv is at the right side of the left side of the cat.,True,False,http://images.cocodataset.org/train2017/000000037907.jpg,False
381,FB,behind,in front of,The person is in front of the cup.,False,True,http://images.cocodataset.org/train2017/000000486576.jpg,False
382,FF,facing away from,facing,The elephant is facing the bus.,True,False,http://images.cocodataset.org/train2017/000000149551.jpg,False
385,FF,facing,facing away from,The person is facing away from the teddy bear.,False,True,http://images.cocodataset.org/train2017/000000317797.jpg,False
389,LR,left of,right of,The cat is right of the potted plant.,True,False,http://images.cocodataset.org/train2017/000000372870.jpg,False
390,LR,at the right side of,at the left side of,The dog is at the left side of the right side of the horse.,False,True,http://images.cocodataset.org/train2017/000000471929.jpg,True
394,PP,parallel to,perpendicular to,The horse is perpendicular to the cow.,False,True,http://images.cocodataset.org/train2017/000000441774.jpg,False
397,FB,in front of,behind,The suitcase is behind the refrigerator.,True,False,http://images.cocodataset.org/train2017/000000561393.jpg,False
399,FB,in front of,behind,The bus is behind the traffic light.,False,True,http://images.cocodataset.org/train2017/000000303765.jpg,True
401,FB,behind,in front of,The bench is in front of the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000002839.jpg,False
403,FB,in front of,behind,The hot dog is behind the banana.,False,True,http://images.cocodataset.org/train2017/000000165639.jpg,False
404,LR,at the right side of,at the left side of,The umbrella is at the left side of the right side of the cat.,False,True,http://images.cocodataset.org/train2017/000000466789.jpg,False
406,FB,at the back of,in front of,The parking meter is in front of the back of the truck.,True,False,http://images.cocodataset.org/train2017/000000019185.jpg,True
408,FB,in front of,behind,The horse is behind the person.,True,False,http://images.cocodataset.org/train2017/000000532748.jpg,False
410,FF,facing,facing away from,The teddy bear is facing away from the person.,False,True,http://images.cocodataset.org/val2017/000000439773.jpg,False
420,FB,in front of,behind,The cake is behind the truck.,True,False,http://images.cocodataset.org/train2017/000000214873.jpg,False
421,FB,in front of,behind,The person is behind the bear.,True,False,http://images.cocodataset.org/train2017/000000290967.jpg,False
424,FF,facing,facing away from,The bed is facing away from the tv.,False,True,http://images.cocodataset.org/train2017/000000146850.jpg,False
426,PP,perpendicular to,parallel to,The car is parallel to the motorcycle.,False,True,http://images.cocodataset.org/train2017/000000253054.jpg,False
434,FB,behind,in front of,The skateboard is in front of the bed.,True,False,http://images.cocodataset.org/train2017/000000030895.jpg,False
439,FF,facing away from,facing,The bench is facing the car.,False,True,http://images.cocodataset.org/train2017/000000506483.jpg,False
446,FB,behind,in front of,The refrigerator is in front of the person.,True,False,http://images.cocodataset.org/train2017/000000272253.jpg,False
464,FB,behind,in front of,The cup is in front of the hot dog.,False,True,http://images.cocodataset.org/train2017/000000289199.jpg,True
467,FB,behind,in front of,The laptop is in front of the cat.,False,True,http://images.cocodataset.org/train2017/000000119360.jpg,False
468,FB,in front of,behind,The dining table is behind the cat.,True,False,http://images.cocodataset.org/train2017/000000349511.jpg,False
469,FB,in front of,behind,The wine glass is behind the person.,False,True,http://images.cocodataset.org/train2017/000000072872.jpg,False
470,LR,at the right side of,at the left side of,The person is at the left side of the right side of the chair.,False,True,http://images.cocodataset.org/train2017/000000356764.jpg,False
471,FB,in front of,behind,The dog is behind the suitcase.,True,False,http://images.cocodataset.org/train2017/000000402297.jpg,False
472,FB,in front of,behind,The suitcase is behind the bench.,True,False,http://images.cocodataset.org/train2017/000000256533.jpg,False
474,LR,at the left side of,at the right side of,The orange is at the right side of the left side of the bowl.,True,False,http://images.cocodataset.org/train2017/000000553586.jpg,False
476,FB,in front of,behind,The laptop is behind the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000402858.jpg,False
480,FB,at the back of,in front of,The zebra is in front of the back of the truck.,False,True,http://images.cocodataset.org/train2017/000000341457.jpg,False
482,FB,behind,in front of,The person is in front of the donut.,True,False,http://images.cocodataset.org/train2017/000000051522.jpg,False
483,LR,right of,left of,The handbag is left of the bed.,True,False,http://images.cocodataset.org/train2017/000000069214.jpg,False
485,LR,at the right side of,at the left side of,The book is at the left side of the right side of the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000503996.jpg,False
487,FB,behind,in front of,The refrigerator is in front of the person.,True,False,http://images.cocodataset.org/train2017/000000041710.jpg,False
491,LR,at the left side of,at the right side of,The laptop is at the right side of the left side of the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000488977.jpg,False
494,LR,at the left side of,at the right side of,The truck is at the right side of the left side of the bed.,True,False,http://images.cocodataset.org/train2017/000000172006.jpg,False
495,FB,in front of,behind,The person is behind the dog.,True,False,http://images.cocodataset.org/train2017/000000378466.jpg,False
504,FB,behind,in front of,The refrigerator is in front of the dining table.,False,True,http://images.cocodataset.org/train2017/000000243442.jpg,True
508,PP,parallel to,perpendicular to,The suitcase is perpendicular to the couch.,True,False,http://images.cocodataset.org/train2017/000000479539.jpg,True
510,FB,in front of,behind,The surfboard is behind the bicycle.,False,True,http://images.cocodataset.org/train2017/000000515743.jpg,True
513,FF,facing,facing away from,The cat is facing away from the laptop.,True,False,http://images.cocodataset.org/train2017/000000573877.jpg,False
518,FB,in front of,behind,The orange is behind the banana.,False,True,http://images.cocodataset.org/train2017/000000238989.jpg,False
520,LR,at the right side of,at the left side of,The orange is at the left side of the right side of the bird.,False,True,http://images.cocodataset.org/train2017/000000514600.jpg,False
523,FF,facing,facing away from,The teddy bear is facing away from the book.,False,True,http://images.cocodataset.org/train2017/000000361778.jpg,False
524,FB,in front of,behind,The cup is behind the pizza.,False,True,http://images.cocodataset.org/val2017/000000520871.jpg,True
530,FB,behind,in front of,The zebra is in front of the person.,True,False,http://images.cocodataset.org/train2017/000000171805.jpg,False
538,LR,left of,right of,The laptop is right of the tv.,True,False,http://images.cocodataset.org/train2017/000000407386.jpg,False
544,PP,parallel to,perpendicular to,The skateboard is perpendicular to the couch.,True,False,http://images.cocodataset.org/train2017/000000170584.jpg,False
545,LR,right of,left of,The potted plant is left of the bench.,True,False,http://images.cocodataset.org/val2017/000000437514.jpg,False
548,LR,left of,right of,The laptop is right of the sandwich.,True,False,http://images.cocodataset.org/train2017/000000349230.jpg,False
552,FB,behind,in front of,The couch is in front of the suitcase.,False,True,http://images.cocodataset.org/train2017/000000042667.jpg,False
553,LR,right of,left of,The potted plant is left of the train.,True,False,http://images.cocodataset.org/train2017/000000518546.jpg,False
554,FB,at the back of,in front of,The bed is in front of the back of the couch.,False,True,http://images.cocodataset.org/train2017/000000208557.jpg,True
556,FB,at the back of,in front of,The truck is in front of the back of the surfboard.,False,True,http://images.cocodataset.org/train2017/000000209791.jpg,False
557,FB,behind,in front of,The sink is in front of the person.,True,False,http://images.cocodataset.org/train2017/000000107565.jpg,True
558,FF,facing away from,facing,The bird is facing the cat.,True,False,http://images.cocodataset.org/train2017/000000072556.jpg,True
564,FF,facing away from,facing,The sheep is facing the person.,False,True,http://images.cocodataset.org/train2017/000000091656.jpg,False
565,PP,perpendicular to,parallel to,The dog is parallel to the couch.,False,True,http://images.cocodataset.org/train2017/000000170898.jpg,True
570,LR,at the right side of,at the left side of,The donut is at the left side of the right side of the bowl.,False,True,http://images.cocodataset.org/train2017/000000435620.jpg,False
574,LR,at the left side of,at the right side of,The book is at the right side of the left side of the pizza.,True,False,http://images.cocodataset.org/train2017/000000469936.jpg,False
582,FF,facing,facing away from,The banana is facing away from the cat.,False,True,http://images.cocodataset.org/train2017/000000481313.jpg,False
583,FB,in front of,behind,The pizza is behind the person.,False,True,http://images.cocodataset.org/train2017/000000328270.jpg,False
585,LR,left of,right of,The bed is right of the bench.,False,True,http://images.cocodataset.org/train2017/000000075458.jpg,False
594,FF,facing,facing away from,The book is facing away from the cat.,True,False,http://images.cocodataset.org/train2017/000000499656.jpg,False
595,FB,in front of,behind,The oven is behind the person.,True,False,http://images.cocodataset.org/train2017/000000451274.jpg,False
600,FB,in front of,behind,The laptop is behind the tv.,True,False,http://images.cocodataset.org/train2017/000000046002.jpg,False
608,FB,behind,in front of,The person is in front of the couch.,True,False,http://images.cocodataset.org/train2017/000000348288.jpg,False
612,LR,left of,right of,The banana is right of the sandwich.,False,True,http://images.cocodataset.org/train2017/000000557005.jpg,False
616,LR,at the left side of,at the right side of,The microwave is at the right side of the left side of the person.,False,True,http://images.cocodataset.org/train2017/000000364937.jpg,False
617,PP,parallel to,perpendicular to,The bench is perpendicular to the person.,False,True,http://images.cocodataset.org/train2017/000000012704.jpg,False
618,LR,at the left side of,at the right side of,The dining table is at the right side of the left side of the oven.,True,False,http://images.cocodataset.org/train2017/000000097427.jpg,False
621,LR,at the left side of,at the right side of,The sandwich is at the right side of the left side of the bowl.,False,True,http://images.cocodataset.org/train2017/000000375086.jpg,False
630,LR,at the left side of,at the right side of,The sandwich is at the right side of the left side of the laptop.,False,True,http://images.cocodataset.org/train2017/000000511523.jpg,False
638,FB,behind,in front of,The person is in front of the oven.,False,True,http://images.cocodataset.org/train2017/000000462151.jpg,True
642,LR,left of,right of,The cat is right of the couch.,False,True,http://images.cocodataset.org/train2017/000000040419.jpg,False
645,LR,at the right side of,at the left side of,The dog is at the left side of the right side of the laptop.,True,False,http://images.cocodataset.org/train2017/000000351914.jpg,False
651,FB,behind,in front of,The bicycle is in front of the train.,True,False,http://images.cocodataset.org/train2017/000000116006.jpg,False
653,FB,in front of,behind,The cake is behind the person.,True,False,http://images.cocodataset.org/train2017/000000348941.jpg,False
656,FB,behind,in front of,The truck is in front of the oven.,True,False,http://images.cocodataset.org/train2017/000000197266.jpg,False
657,FF,facing,facing away from,The teddy bear is facing away from the cow.,False,True,http://images.cocodataset.org/train2017/000000285618.jpg,False
659,FB,in front of,behind,The handbag is behind the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000010547.jpg,False
666,FB,in front of,behind,The couch is behind the person.,False,True,http://images.cocodataset.org/train2017/000000142481.jpg,False
671,FB,behind,in front of,The mouse is in front of the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000196226.jpg,False
672,LR,at the left side of,at the right side of,The teddy bear is at the right side of the left side of the book.,False,True,http://images.cocodataset.org/train2017/000000127654.jpg,False
676,PP,parallel to,perpendicular to,The boat is perpendicular to the truck.,True,False,http://images.cocodataset.org/train2017/000000267363.jpg,False
678,FB,in front of,behind,The bus is behind the motorcycle.,True,False,http://images.cocodataset.org/train2017/000000328372.jpg,False
679,LR,at the right side of,at the left side of,The motorcycle is at the left side of the right side of the truck.,False,True,http://images.cocodataset.org/train2017/000000106810.jpg,False
681,FB,behind,in front of,The car is in front of the suitcase.,False,True,http://images.cocodataset.org/train2017/000000159850.jpg,False
682,LR,at the left side of,at the right side of,The cat is at the right side of the left side of the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000219418.jpg,False
689,LR,at the right side of,at the left side of,The chair is at the left side of the right side of the laptop.,False,True,http://images.cocodataset.org/train2017/000000427726.jpg,False
690,FB,in front of,behind,The dining table is behind the truck.,False,True,http://images.cocodataset.org/train2017/000000219784.jpg,False
695,FB,at the back of,in front of,The keyboard is in front of the back of the dog.,True,False,http://images.cocodataset.org/train2017/000000077769.jpg,True
697,LR,left of,right of,The person is right of the refrigerator.,True,False,http://images.cocodataset.org/train2017/000000410805.jpg,False
698,LR,at the left side of,at the right side of,The person is at the right side of the left side of the dining table.,True,False,http://images.cocodataset.org/train2017/000000224045.jpg,False
700,FB,behind,in front of,The teddy bear is in front of the potted plant.,False,True,http://images.cocodataset.org/val2017/000000175443.jpg,False
702,FB,in front of,behind,The skateboard is behind the dog.,False,True,http://images.cocodataset.org/train2017/000000518613.jpg,False
704,LR,at the left side of,at the right side of,The person is at the right side of the left side of the couch.,True,False,http://images.cocodataset.org/train2017/000000277533.jpg,False
705,LR,at the left side of,at the right side of,The cat is at the right side of the left side of the pizza.,True,False,http://images.cocodataset.org/train2017/000000363325.jpg,False
711,LR,at the left side of,at the right side of,The chair is at the right side of the left side of the pizza.,False,True,http://images.cocodataset.org/train2017/000000285484.jpg,False
712,LR,at the left side of,at the right side of,The cow is at the right side of the left side of the car.,False,True,http://images.cocodataset.org/train2017/000000343504.jpg,True
714,LR,right of,left of,The person is left of the teddy bear.,False,True,http://images.cocodataset.org/train2017/000000230004.jpg,False
717,LR,left of,right of,The teddy bear is right of the cup.,False,True,http://images.cocodataset.org/train2017/000000185326.jpg,True
720,FB,in front of,behind,The teddy bear is behind the bus.,True,False,http://images.cocodataset.org/train2017/000000355857.jpg,False
721,LR,at the left side of,at the right side of,The person is at the right side of the left side of the bed.,False,True,http://images.cocodataset.org/train2017/000000303047.jpg,False
723,FB,behind,in front of,The person is in front of the oven.,True,False,http://images.cocodataset.org/train2017/000000270922.jpg,True
726,LR,right of,left of,The train is left of the bus.,True,False,http://images.cocodataset.org/train2017/000000419439.jpg,False
728,PP,perpendicular to,parallel to,The bed is parallel to the person.,False,True,http://images.cocodataset.org/train2017/000000207826.jpg,False
732,LR,right of,left of,The cow is left of the clock.,True,False,http://images.cocodataset.org/train2017/000000449845.jpg,False
733,FB,behind,in front of,The potted plant is in front of the cat.,True,False,http://images.cocodataset.org/train2017/000000314504.jpg,False
735,FB,in front of,behind,The teddy bear is behind the bus.,False,True,http://images.cocodataset.org/train2017/000000205283.jpg,False
737,LR,left of,right of,The couch is right of the bed.,True,False,http://images.cocodataset.org/train2017/000000334215.jpg,False
738,FF,facing,facing away from,The laptop is facing away from the cat.,False,True,http://images.cocodataset.org/train2017/000000501126.jpg,False
739,FF,facing,facing away from,The cat is facing away from the refrigerator.,True,False,http://images.cocodataset.org/train2017/000000477647.jpg,False
741,LR,at the left side of,at the right side of,The teddy bear is at the right side of the left side of the dog.,True,False,http://images.cocodataset.org/train2017/000000139355.jpg,False
751,FB,in front of,behind,The laptop is behind the cat.,True,False,http://images.cocodataset.org/train2017/000000357470.jpg,False
754,FB,in front of,behind,The dining table is behind the cat.,False,True,http://images.cocodataset.org/train2017/000000193254.jpg,False
756,FF,facing,facing away from,The person is facing away from the car.,True,False,http://images.cocodataset.org/train2017/000000132841.jpg,False
757,FF,facing away from,facing,The person is facing the laptop.,False,True,http://images.cocodataset.org/train2017/000000021365.jpg,True
759,FB,behind,in front of,The boat is in front of the bicycle.,False,True,http://images.cocodataset.org/train2017/000000356622.jpg,False
762,LR,at the right side of,at the left side of,The person is at the left side of the right side of the dining table.,False,True,http://images.cocodataset.org/train2017/000000057639.jpg,False
772,FB,in front of,behind,The person is behind the refrigerator.,True,False,http://images.cocodataset.org/train2017/000000321633.jpg,False
780,PP,parallel to,perpendicular to,The motorcycle is perpendicular to the bus.,False,True,http://images.cocodataset.org/train2017/000000308175.jpg,False
796,FB,in front of,behind,The horse is behind the bench.,False,True,http://images.cocodataset.org/train2017/000000566276.jpg,False
798,LR,at the left side of,at the right side of,The teddy bear is at the right side of the left side of the couch.,False,True,http://images.cocodataset.org/train2017/000000178818.jpg,False
802,LR,at the left side of,at the right side of,The laptop is at the right side of the left side of the dog.,False,True,http://images.cocodataset.org/train2017/000000025994.jpg,False
804,FB,in front of,behind,The cup is behind the cow.,True,False,http://images.cocodataset.org/train2017/000000298981.jpg,False
