id,statement,relation,label,subject,object,image,heuristic_reasons,model_pred,model_disagree,final_status
597,The cat is facing the potted plant.,facing,True,cat,potted plant,http://images.cocodataset.org/train2017/000000372870.jpg,,,,
621,The motorcycle is facing the truck.,facing,True,motorcycle,truck,http://images.cocodataset.org/train2017/000000308276.jpg,,,,
641,The person is parallel to the couch.,parallel to,False,person,couch,http://images.cocodataset.org/train2017/000000380484.jpg,ambiguous_noun:couch,,,
656,The surfboard is perpendicular to the bed.,perpendicular to,False,surfboard,bed,http://images.cocodataset.org/train2017/000000204272.jpg,ambiguous_noun:bed,,,
658,The truck is perpendicular to the bicycle.,perpendicular to,True,truck,bicycle,http://images.cocodataset.org/train2017/000000317911.jpg,,,,
661,The dining table is parallel to the bench.,parallel to,False,dining table,bench,http://images.cocodataset.org/train2017/000000500099.jpg,ambiguous_noun:bench;ambiguous_noun:table,,,
704,The parking meter is facing the truck.,facing,True,parking meter,truck,http://images.cocodataset.org/train2017/000000064089.jpg,,,,
716,The bus is parallel to the surfboard.,parallel to,True,bus,surfboard,http://images.cocodataset.org/train2017/000000514864.jpg,,,,
732,The teddy bear is facing away from the dog.,facing away from,False,teddy bear,dog,http://images.cocodataset.org/train2017/000000092002.jpg,ambiguous_noun:teddy bear,,,
739,The person is facing the cell phone.,facing,True,person,cell phone,http://images.cocodataset.org/train2017/000000362869.jpg,ambiguous_noun:cell phone;ambiguous_noun:phone,,,
743,The car is parallel to the parking meter.,parallel to,False,car,parking meter,http://images.cocodataset.org/train2017/000000550019.jpg,,,,
744,The dog is facing the wine glass.,facing,False,dog,wine glass,http://images.cocodataset.org/train2017/000000552061.jpg,ambiguous_noun:glass,,,
747,The boat is facing away from the truck.,facing away from,True,boat,truck,http://images.cocodataset.org/train2017/000000246233.jpg,,,,
750,The book is perpendicular to the bed.,perpendicular to,True,book,bed,http://images.cocodataset.org/train2017/000000434672.jpg,ambiguous_noun:book;ambiguous_noun:bed,,,
780,The cow is facing the person.,facing,True,cow,person,http://images.cocodataset.org/train2017/000000221771.jpg,,,,
787,The motorcycle is parallel to the cow.,parallel to,True,motorcycle,cow,http://images.cocodataset.org/train2017/000000538687.jpg,,,,
800,The dog is facing the dining table.,facing,True,dog,dining table,http://images.cocodataset.org/train2017/000000499837.jpg,ambiguous_noun:table,,,
877,The train is perpendicular to the bench.,perpendicular to,False,train,bench,http://images.cocodataset.org/train2017/000000119861.jpg,ambiguous_noun:bench,,,
900,The cat is facing the handbag.,facing,True,cat,handbag,http://images.cocodataset.org/train2017/000000250951.jpg,,,,
909,The dog is facing the dining table.,facing,False,dog,dining table,http://images.cocodataset.org/train2017/000000182604.jpg,ambiguous_noun:table,,,
923,The refrigerator is facing the pizza.,facing,True,refrigerator,pizza,http://images.cocodataset.org/train2017/000000273633.jpg,,,,
964,The refrigerator is facing the bench.,facing,True,refrigerator,bench,http://images.cocodataset.org/train2017/000000540460.jpg,ambiguous_noun:bench,,,
988,The person is facing the dining table.,facing,False,person,dining table,http://images.cocodataset.org/train2017/000000323717.jpg,ambiguous_noun:table,,,
998,The laptop is facing the chair.,facing,True,laptop,chair,http://images.cocodataset.org/train2017/000000211260.jpg,ambiguous_noun:laptop;ambiguous_noun:chair,,,
1005,The person is facing away from the bear.,facing away from,False,person,bear,http://images.cocodataset.org/train2017/000000541911.jpg,,,,
1032,The dog is facing away from the pizza.,facing away from,True,dog,pizza,http://images.cocodataset.org/train2017/000000365139.jpg,,,,
1050,The couch is perpendicular to the dog.,perpendicular to,True,couch,dog,http://images.cocodataset.org/train2017/000000305278.jpg,ambiguous_noun:couch,,,
1055,The bird is facing away from the cat.,facing away from,False,bird,cat,http://images.cocodataset.org/train2017/000000379620.jpg,,,,
1070,The teddy bear is facing away from the cell phone.,facing away from,True,teddy bear,cell phone,http://images.cocodataset.org/train2017/000000500921.jpg,ambiguous_noun:cell phone;ambiguous_noun:teddy bear;ambiguous_noun:phone,,,
1082,The car is facing away from the elephant.,facing away from,True,car,elephant,http://images.cocodataset.org/train2017/000000116675.jpg,,,,
1083,The person is facing the book.,facing,False,person,book,http://images.cocodataset.org/train2017/000000303847.jpg,ambiguous_noun:book,,,
1085,The motorcycle is parallel to the bus.,parallel to,True,motorcycle,bus,http://images.cocodataset.org/train2017/000000460143.jpg,,,,
1086,The motorcycle is facing the train.,facing,True,motorcycle,train,http://images.cocodataset.org/train2017/000000187286.jpg,,,,
1118,The dog is facing away from the laptop.,facing away from,True,dog,laptop,http://images.cocodataset.org/train2017/000000350245.jpg,ambiguous_noun:laptop,,,
1139,The person is facing away from the bear.,facing away from,True,person,bear,http://images.cocodataset.org/train2017/000000290967.jpg,,,,
1149,The dog is facing away from the pizza.,facing away from,True,dog,pizza,http://images.cocodataset.org/train2017/000000473720.jpg,,,,
1150,The fire hydrant is facing away from the person.,facing away from,False,fire hydrant,person,http://images.cocodataset.org/train2017/000000158563.jpg,,,,
1184,The truck is facing away from the elephant.,facing away from,False,truck,elephant,http://images.cocodataset.org/train2017/000000026747.jpg,,,,
1186,The person is facing the book.,facing,True,person,book,http://images.cocodataset.org/train2017/000000336369.jpg,ambiguous_noun:book,,,
1203,The person is facing the cake.,facing,True,person,cake,http://images.cocodataset.org/train2017/000000087738.jpg,ambiguous_noun:cake,,,
1233,The person is facing away from the oven.,facing away from,True,person,oven,http://images.cocodataset.org/train2017/000000519738.jpg,,,,
1332,The dog is parallel to the cat.,parallel to,False,dog,cat,http://images.cocodataset.org/train2017/000000273885.jpg,,,,
1334,The bus is facing the fire hydrant.,facing,True,bus,fire hydrant,http://images.cocodataset.org/train2017/000000125524.jpg,,,,
1347,The cat is facing the tv.,facing,False,cat,tv,http://images.cocodataset.org/train2017/000000109106.jpg,ambiguous_noun:tv,,,
1390,The cow is facing the person.,facing,False,cow,person,http://images.cocodataset.org/train2017/000000146236.jpg,,,,
1392,The cat is facing the potted plant.,facing,False,cat,potted plant,http://images.cocodataset.org/train2017/000000000599.jpg,,,,
1450,The refrigerator is facing the person.,facing,True,refrigerator,person,http://images.cocodataset.org/train2017/000000105310.jpg,,,,
1484,The elephant is facing the book.,facing,False,elephant,book,http://images.cocodataset.org/train2017/000000471325.jpg,ambiguous_noun:book,,,
1536,The car is facing away from the bus.,facing away from,True,car,bus,http://images.cocodataset.org/train2017/000000469026.jpg,,,,
1543,The bed is facing the couch.,facing,False,bed,couch,http://images.cocodataset.org/train2017/000000157480.jpg,ambiguous_noun:couch;ambiguous_noun:bed,,,
1558,The person is facing the toaster.,facing,False,person,toaster,http://images.cocodataset.org/train2017/000000255226.jpg,,,,
1565,The cat is facing the tv.,facing,True,cat,tv,http://images.cocodataset.org/train2017/000000433423.jpg,ambiguous_noun:tv,,,
1574,The cat is facing away from the toilet.,facing away from,True,cat,toilet,http://images.cocodataset.org/train2017/000000225322.jpg,ambiguous_noun:toilet,,,
1578,The bed is perpendicular to the cat.,perpendicular to,True,bed,cat,http://images.cocodataset.org/train2017/000000258305.jpg,ambiguous_noun:bed,,,
1624,The zebra is facing the car.,facing,True,zebra,car,http://images.cocodataset.org/train2017/000000135820.jpg,,,,
1633,The truck is perpendicular to the bicycle.,perpendicular to,False,truck,bicycle,http://images.cocodataset.org/train2017/000000092366.jpg,,,,
1649,The bed is perpendicular to the person.,perpendicular to,True,bed,person,http://images.cocodataset.org/train2017/000000290645.jpg,ambiguous_noun:bed,,,
1656,The dog is facing away from the truck.,facing away from,False,dog,truck,http://images.cocodataset.org/train2017/000000045655.jpg,,,,
1664,The cow is facing the dog.,facing,False,cow,dog,http://images.cocodataset.org/train2017/000000436638.jpg,,,,
1696,The person is facing the book.,facing,True,person,book,http://images.cocodataset.org/train2017/000000518273.jpg,ambiguous_noun:book,,,
1699,The person is facing away from the hot dog.,facing away from,True,person,hot dog,http://images.cocodataset.org/train2017/000000059581.jpg,,,,
1701,The motorcycle is parallel to the car.,parallel to,False,motorcycle,car,http://images.cocodataset.org/train2017/000000253907.jpg,,,,
1703,The car is perpendicular to the elephant.,perpendicular to,True,car,elephant,http://images.cocodataset.org/val2017/000000384468.jpg,,,,
1738,The tv is facing the person.,facing,True,tv,person,http://images.cocodataset.org/train2017/000000523225.jpg,ambiguous_noun:tv,,,
1741,The dog is facing away from the laptop.,facing away from,False,dog,laptop,http://images.cocodataset.org/val2017/000000134112.jpg,ambiguous_noun:laptop,,,
1750,The oven is facing the person.,facing,True,oven,person,http://images.cocodataset.org/train2017/000000069668.jpg,,,,
1799,The bird is facing the cup.,facing,False,bird,cup,http://images.cocodataset.org/train2017/000000042007.jpg,ambiguous_noun:cup,,,
1808,The elephant is facing the car.,facing,True,elephant,car,http://images.cocodataset.org/train2017/000000358265.jpg,,,,
1840,The horse is parallel to the cow.,parallel to,True,horse,cow,http://images.cocodataset.org/train2017/000000378214.jpg,,,,
1861,The person is facing the toilet.,facing,True,person,toilet,http://images.cocodataset.org/train2017/000000459400.jpg,ambiguous_noun:toilet,,,
1882,The teddy bear is facing the bottle.,facing,True,teddy bear,bottle,http://images.cocodataset.org/val2017/000000156643.jpg,ambiguous_noun:teddy bear;ambiguous_noun:bottle,,,
1905,The person is facing the refrigerator.,facing,True,person,refrigerator,http://images.cocodataset.org/train2017/000000162346.jpg,,,,
1907,The laptop is facing the person.,facing,False,laptop,person,http://images.cocodataset.org/train2017/000000185335.jpg,ambiguous_noun:laptop,,,
1929,The bear is facing the person.,facing,True,bear,person,http://images.cocodataset.org/train2017/000000061852.jpg,,,,
1933,The person is facing away from the banana.,facing away from,True,person,banana,http://images.cocodataset.org/train2017/000000320918.jpg,ambiguous_noun:banana,,,
1935,The cow is parallel to the car.,parallel to,True,cow,car,http://images.cocodataset.org/train2017/000000137150.jpg,,,,
1955,The giraffe is facing the person.,facing,True,giraffe,person,http://images.cocodataset.org/train2017/000000118465.jpg,,,,
1968,The refrigerator is facing the pizza.,facing,False,refrigerator,pizza,http://images.cocodataset.org/train2017/000000328270.jpg,,,,
1970,The laptop is facing away from the person.,facing away from,False,laptop,person,http://images.cocodataset.org/train2017/000000431715.jpg,ambiguous_noun:laptop,,,
1971,The giraffe is facing the person.,facing,True,giraffe,person,http://images.cocodataset.org/train2017/000000173908.jpg,,,,
1978,The cat is facing away from the toilet.,facing away from,True,cat,toilet,http://images.cocodataset.org/train2017/000000018819.jpg,ambiguous_noun:toilet,,,
1992,The fire hydrant is facing the dog.,facing,False,fire hydrant,dog,http://images.cocodataset.org/train2017/000000548734.jpg,,,,
2015,The cat is facing the keyboard.,facing,True,cat,keyboard,http://images.cocodataset.org/train2017/000000416663.jpg,ambiguous_noun:keyboard,,,
2019,The horse is facing the dog.,facing,False,horse,dog,http://images.cocodataset.org/train2017/000000050772.jpg,,,,
2021,The person is facing the zebra.,facing,False,person,zebra,http://images.cocodataset.org/train2017/000000338766.jpg,,,,
2046,The couch is facing the bicycle.,facing,False,couch,bicycle,http://images.cocodataset.org/val2017/000000468505.jpg,ambiguous_noun:couch,,,
2056,The cat is facing away from the tv.,facing away from,True,cat,tv,http://images.cocodataset.org/train2017/000000483775.jpg,ambiguous_noun:tv,,,
2070,The cat is facing away from the motorcycle.,facing away from,False,cat,motorcycle,http://images.cocodataset.org/train2017/000000513585.jpg,,,,
2114,The person is facing the dining table.,facing,False,person,dining table,http://images.cocodataset.org/train2017/000000300070.jpg,ambiguous_noun:table,,,
2123,The book is perpendicular to the bed.,perpendicular to,False,book,bed,http://images.cocodataset.org/train2017/000000203131.jpg,ambiguous_noun:book;ambiguous_noun:bed,,,
2127,The person is facing the refrigerator.,facing,True,person,refrigerator,http://images.cocodataset.org/train2017/000000462151.jpg,,,,
2152,The surfboard is parallel to the bicycle.,parallel to,True,surfboard,bicycle,http://images.cocodataset.org/train2017/000000031813.jpg,,,,
2205,The car is facing away from the horse.,facing away from,False,car,horse,http://images.cocodataset.org/train2017/000000343401.jpg,,,,
2219,The laptop is facing the cat.,facing,True,laptop,cat,http://images.cocodataset.org/train2017/000000009807.jpg,ambiguous_noun:laptop,,,
2226,The person is facing away from the laptop.,facing away from,True,person,laptop,http://images.cocodataset.org/train2017/000000436302.jpg,ambiguous_noun:laptop,,,
2240,The dog is facing the oven.,facing,False,dog,oven,http://images.cocodataset.org/train2017/000000567106.jpg,,,,
2256,The person is facing the frisbee.,facing,True,person,frisbee,http://images.cocodataset.org/train2017/000000406676.jpg,,,,
2300,The cat is facing the sink.,facing,True,cat,sink,http://images.cocodataset.org/train2017/000000196307.jpg,ambiguous_noun:sink,,,
2308,The cat is facing the dog.,facing,True,cat,dog,http://images.cocodataset.org/train2017/000000574000.jpg,,,,
2326,The cat is facing away from the person.,facing away from,False,cat,person,http://images.cocodataset.org/train2017/000000523749.jpg,,,,
2345,The car is facing away from the motorcycle.,facing away from,True,car,motorcycle,http://images.cocodataset.org/train2017/000000037322.jpg,,,,
2367,The car is parallel to the train.,parallel to,False,car,train,http://images.cocodataset.org/train2017/000000366058.jpg,,,,
2376,The bear is facing the truck.,facing,False,bear,truck,http://images.cocodataset.org/train2017/000000492510.jpg,,,,
2404,The tv is facing the cat.,facing,False,tv,cat,http://images.cocodataset.org/train2017/000000128166.jpg,ambiguous_noun:tv,,,
2421,The boat is facing away from the bicycle.,facing away from,False,boat,bicycle,http://images.cocodataset.org/train2017/000000405078.jpg,,,,
2423,The bed is perpendicular to the person.,perpendicular to,False,bed,person,http://images.cocodataset.org/train2017/000000250903.jpg,ambiguous_noun:bed,,,
2431,The person is facing the book.,facing,True,person,book,http://images.cocodataset.org/train2017/000000398076.jpg,ambiguous_noun:book,,,
2441,The tv is facing away from the person.,facing away from,False,tv,person,http://images.cocodataset.org/train2017/000000010779.jpg,ambiguous_noun:tv,,,
2450,The person is facing away from the keyboard.,facing away from,False,person,keyboard,http://images.cocodataset.org/train2017/000000268150.jpg,ambiguous_noun:keyboard,,,
2458,The teddy bear is perpendicular to the cake.,perpendicular to,False,teddy bear,cake,http://images.cocodataset.org/train2017/000000210404.jpg,ambiguous_noun:cake;ambiguous_noun:teddy bear,,,
2461,The person is facing away from the refrigerator.,facing away from,False,person,refrigerator,http://images.cocodataset.org/train2017/000000419700.jpg,,,,
2485,The person is facing away from the dining table.,facing away from,False,person,dining table,http://images.cocodataset.org/train2017/000000364720.jpg,ambiguous_noun:table,,,
2488,The cat is facing away from the microwave.,facing away from,False,cat,microwave,http://images.cocodataset.org/train2017/000000112553.jpg,,,,
2492,The person is facing the book.,facing,False,person,book,http://images.cocodataset.org/train2017/000000572500.jpg,ambiguous_noun:book,,,
2496,The person is facing the cell phone.,facing,False,person,cell phone,http://images.cocodataset.org/train2017/000000558645.jpg,ambiguous_noun:cell phone;ambiguous_noun:phone,,,
2503,The teddy bear is perpendicular to the dining table.,perpendicular to,False,teddy bear,dining table,http://images.cocodataset.org/train2017/000000365289.jpg,ambiguous_noun:teddy bear;ambiguous_noun:table,,,
2524,The tv is facing the toilet.,facing,True,tv,toilet,http://images.cocodataset.org/train2017/000000335659.jpg,ambiguous_noun:tv;ambiguous_noun:toilet,,,
2532,The surfboard is perpendicular to the bed.,perpendicular to,True,surfboard,bed,http://images.cocodataset.org/train2017/000000511407.jpg,ambiguous_noun:bed,,,
2557,The laptop is facing the chair.,facing,False,laptop,chair,http://images.cocodataset.org/val2017/000000239318.jpg,ambiguous_noun:laptop;ambiguous_noun:chair,,,
2580,The person is facing the keyboard.,facing,False,person,keyboard,http://images.cocodataset.org/train2017/000000499024.jpg,ambiguous_noun:keyboard,,,
2585,The cat is facing away from the suitcase.,facing away from,False,cat,suitcase,http://images.cocodataset.org/train2017/000000141441.jpg,ambiguous_noun:suitcase,,,
2616,The giraffe is facing away from the person.,facing away from,False,giraffe,person,http://images.cocodataset.org/train2017/000000389453.jpg,,,,
2617,The dog is facing away from the pizza.,facing away from,False,dog,pizza,http://images.cocodataset.org/train2017/000000207889.jpg,,,,
2619,The tv is facing the pizza.,facing,True,tv,pizza,http://images.cocodataset.org/train2017/000000580459.jpg,ambiguous_noun:tv,,,
2661,The bus is parallel to the surfboard.,parallel to,False,bus,surfboard,http://images.cocodataset.org/train2017/000000394535.jpg,,,,
2663,The couch is perpendicular to the person.,perpendicular to,False,couch,person,http://images.cocodataset.org/train2017/000000467332.jpg,ambiguous_noun:couch,,,
2677,The cat is facing the laptop.,facing,False,cat,laptop,http://images.cocodataset.org/train2017/000000113707.jpg,ambiguous_noun:laptop,,,
2679,The chair is facing away from the teddy bear.,facing away from,True,chair,teddy bear,http://images.cocodataset.org/train2017/000000544307.jpg,ambiguous_noun:teddy bear;ambiguous_noun:chair,,,
2690,The person is facing away from the giraffe.,facing away from,True,person,giraffe,http://images.cocodataset.org/train2017/000000389453.jpg,,,,
2699,The teddy bear is perpendicular to the dining table.,perpendicular to,True,teddy bear,dining table,http://images.cocodataset.org/train2017/000000157159.jpg,ambiguous_noun:teddy bear;ambiguous_noun:table,,,
2708,The chair is facing the hot dog.,facing,True,chair,hot dog,http://images.cocodataset.org/train2017/000000560969.jpg,ambiguous_noun:chair,,,
2731,The cat is facing the laptop.,facing,False,cat,laptop,http://images.cocodataset.org/train2017/000000272250.jpg,ambiguous_noun:laptop,,,
2737,The person is facing away from the dining table.,facing away from,True,person,dining table,http://images.cocodataset.org/train2017/000000140188.jpg,ambiguous_noun:table,,,
2738,The teddy bear is perpendicular to the dining table.,perpendicular to,False,teddy bear,dining table,http://images.cocodataset.org/train2017/000000061647.jpg,ambiguous_noun:teddy bear;ambiguous_noun:table,,,
2748,The person is facing the oven.,facing,False,person,oven,http://images.cocodataset.org/train2017/000000475510.jpg,,,,
2756,The toilet is facing the person.,facing,True,toilet,person,http://images.cocodataset.org/val2017/000000154718.jpg,ambiguous_noun:toilet,,,
2778,The bed is facing the couch.,facing,True,bed,couch,http://images.cocodataset.org/train2017/000000367848.jpg,ambiguous_noun:couch;ambiguous_noun:bed,,,
2797,The giraffe is facing the person.,facing,False,giraffe,person,http://images.cocodataset.org/train2017/000000573958.jpg,,,,
2803,The teddy bear is facing the person.,facing,True,teddy bear,person,http://images.cocodataset.org/train2017/000000293382.jpg,ambiguous_noun:teddy bear,,,
2809,The elephant is facing the person.,facing,False,elephant,person,http://images.cocodataset.org/train2017/000000137886.jpg,,,,
2815,The cat is facing away from the tv.,facing away from,True,cat,tv,http://images.cocodataset.org/train2017/000000460482.jpg,ambiguous_noun:tv,,,
2816,The bear is facing the teddy bear.,facing,True,bear,teddy bear,http://images.cocodataset.org/train2017/000000044432.jpg,ambiguous_noun:teddy bear,,,
2819,The motorcycle is facing away from the bus.,facing away from,False,motorcycle,bus,http://images.cocodataset.org/train2017/000000123552.jpg,,,,
2822,The bus is facing away from the cow.,facing away from,False,bus,cow,http://images.cocodataset.org/train2017/000000306581.jpg,,,,
2829,The hair drier is facing away from the person.,facing away from,False,hair drier,person,http://images.cocodataset.org/train2017/000000134738.jpg,ambiguous_noun:hair drier,,,
2834,The cat is facing the sandwich.,facing,False,cat,sandwich,http://images.cocodataset.org/train2017/000000318209.jpg,,,,
2835,The teddy bear is facing away from the book.,facing away from,True,teddy bear,book,http://images.cocodataset.org/train2017/000000147142.jpg,ambiguous_noun:book;ambiguous_noun:teddy bear,,,
2838,The dog is facing the oven.,facing,True,dog,oven,http://images.cocodataset.org/train2017/000000269417.jpg,,,,
2870,The train is perpendicular to the truck.,perpendicular to,False,train,truck,http://images.cocodataset.org/train2017/000000400307.jpg,,,,
2896,The car is perpendicular to the bicycle.,perpendicular to,False,car,bicycle,http://images.cocodataset.org/train2017/000000021452.jpg,,,,
2899,The umbrella is parallel to the cat.,parallel to,True,umbrella,cat,http://images.cocodataset.org/train2017/000000450247.jpg,ambiguous_noun:umbrella,,,
2972,The car is facing the bicycle.,facing,False,car,bicycle,http://images.cocodataset.org/train2017/000000575702.jpg,,,,
2987,The cat is facing the bird.,facing,True,cat,bird,http://images.cocodataset.org/train2017/000000124926.jpg,,,,
3001,The truck is facing away from the bus.,facing away from,True,truck,bus,http://images.cocodataset.org/train2017/000000521003.jpg,,,,
3004,The person is facing the suitcase.,facing,True,person,suitcase,http://images.cocodataset.org/train2017/000000580843.jpg,ambiguous_noun:suitcase,,,
3041,The boat is facing away from the bicycle.,facing away from,True,boat,bicycle,http://images.cocodataset.org/train2017/000000390298.jpg,,,,
3048,The zebra is facing the person.,facing,False,zebra,person,http://images.cocodataset.org/train2017/000000171805.jpg,,,,
3075,The surfboard is parallel to the bicycle.,parallel to,False,surfboard,bicycle,http://images.cocodataset.org/train2017/000000070744.jpg,,,,
3113,The refrigerator is facing the dining table.,facing,True,refrigerator,dining table,http://images.cocodataset.org/train2017/000000307884.jpg,ambiguous_noun:table,,,
3136,The elephant is facing the person.,facing,True,elephant,person,http://images.cocodataset.org/train2017/000000152293.jpg,,,,
3141,The teddy bear is facing the person.,facing,True,teddy bear,person,http://images.cocodataset.org/train2017/000000189345.jpg,ambiguous_noun:teddy bear,,,
3145,The laptop is facing the person.,facing,True,laptop,person,http://images.cocodataset.org/train2017/000000179805.jpg,ambiguous_noun:laptop,,,
3153,The cat is perpendicular to the motorcycle.,perpendicular to,True,cat,motorcycle,http://images.cocodataset.org/train2017/000000061403.jpg,,,,
3181,The person is facing the refrigerator.,facing,False,person,refrigerator,http://images.cocodataset.org/train2017/000000301415.jpg,,,,
3188,The book is facing the cat.,facing,True,book,cat,http://images.cocodataset.org/train2017/000000364725.jpg,ambiguous_noun:book,,,
3202,The person is facing the pizza.,facing,True,person,pizza,http://images.cocodataset.org/train2017/000000232451.jpg,,,,
3206,The cat is facing the bird.,facing,False,cat,bird,http://images.cocodataset.org/train2017/000000088257.jpg,,,,
3218,The train is parallel to the boat.,parallel to,True,train,boat,http://images.cocodataset.org/train2017/000000364491.jpg,,,,
3220,The horse is facing away from the zebra.,facing away from,False,horse,zebra,http://images.cocodataset.org/train2017/000000302924.jpg,,,,
3227,The person is facing away from the dining table.,facing away from,True,person,dining table,http://images.cocodataset.org/train2017/000000554445.jpg,ambiguous_noun:table,,,
3246,The teddy bear is facing the motorcycle.,facing,False,teddy bear,motorcycle,http://images.cocodataset.org/train2017/000000423173.jpg,ambiguous_noun:teddy bear,,,
3291,The teddy bear is perpendicular to the dining table.,perpendicular to,True,teddy bear,dining table,http://images.cocodataset.org/train2017/000000092575.jpg,ambiguous_noun:teddy bear;ambiguous_noun:table,,,
3293,The person is facing the zebra.,facing,True,person,zebra,http://images.cocodataset.org/train2017/000000135820.jpg,,,,
3318,The person is facing the oven.,facing,False,person,oven,http://images.cocodataset.org/train2017/000000549427.jpg,,,,
3330,The person is facing away from the dining table.,facing away from,False,person,dining table,http://images.cocodataset.org/train2017/000000136938.jpg,ambiguous_noun:table,,,
3362,The cat is facing away from the backpack.,facing away from,False,cat,backpack,http://images.cocodataset.org/train2017/000000526225.jpg,ambiguous_noun:backpack,,,
3371,The car is parallel to the motorcycle.,parallel to,False,car,motorcycle,http://images.cocodataset.org/train2017/000000325557.jpg,,,,
3381,The dog is facing the horse.,facing,False,dog,horse,http://images.cocodataset.org/train2017/000000300322.jpg,,,,
3385,The cat is facing the keyboard.,facing,True,cat,keyboard,http://images.cocodataset.org/train2017/000000575911.jpg,ambiguous_noun:keyboard,,,
3388,The cow is facing the person.,facing,True,cow,person,http://images.cocodataset.org/train2017/000000159504.jpg,,,,
3400,The motorcycle is facing the train.,facing,False,motorcycle,train,http://images.cocodataset.org/train2017/000000338407.jpg,,,,
3412,The tv is facing the cat.,facing,True,tv,cat,http://images.cocodataset.org/train2017/000000032816.jpg,ambiguous_noun:tv,,,
