id,relation,statement,label,wrong_count,annotation,notes
156,facing away from,The person is facing away from the horse.,True,3,clear_image_model_reasoning_failure,"Medieval knight sitting on log looking left; horse on right; person clearly faces away from horse; clear image, models wrong"
213,facing,The laptop is facing the sandwich.,True,3,clear_image_model_reasoning_failure,"Laptop behind plate; screen faces camera/sandwich; laptop IS facing sandwich; clear spatial relationship, models wrong"
250,facing,The laptop is facing the chair.,True,3,front_back_object_ambiguous,"Person pulling hoodie over head; laptop faces person; green chair partially visible behind person; requires inference about chair position"
356,facing,The dog is facing the boat.,True,3,annotation_questionable,"Overhead view of dog on boat deck between people's legs; 'facing the boat' is semantically strange when dog IS on the boat"
362,facing,The cat is facing the keyboard.,False,3,annotation_questionable,"Cat sitting on laptop looking down at keyboard; cat IS facing the keyboard; label False seems incorrect; cat's face points at keyboard"
424,facing,The bed is facing the tv.,False,3,intrinsic_orientation_ambiguous,"TV on nightstand; bed visible on left; beds don't have meaningful 'facing' direction; assigning orientation to furniture is questionable"
439,facing away from,The bench is facing away from the car.,False,3,camera_viewpoint_ambiguity,"Overhead view of large rocking chair/bench in plaza; car at bottom; bench orientation hard to determine from high angle; rocking chair faces toward car"
508,parallel to,The suitcase is parallel to the couch.,True,3,small_occluded_object,"Small brown case on couch armrest; hard to see; oriented parallel to couch; small object detection is the main challenge"
565,perpendicular to,The dog is perpendicular to the couch.,False,3,clear_image_model_reasoning_failure,"Dog lying along couch length (parallel); label False is correct; models incorrectly predict perpendicular; clear spatial relationship"
582,facing,The banana is facing the cat.,False,3,intrinsic_orientation_ambiguous,"Banana on book next to sleeping cat; bananas don't have meaningful 'facing' direction; assigning orientation to produce is questionable"
657,facing,The teddy bear is facing the cow.,False,3,small_occluded_object,"Teddy bear partially visible at left edge; chocolate cow figurine centered; bear's face orientation hard to determine from partial view"
834,perpendicular to,The bus is perpendicular to the car.,True,3,camera_viewpoint_ambiguity,"Heart-shaped traffic light; bus moving horizontally (blurred); car in foreground facing camera; motion blur and depth make geometry hard"
868,facing away from,The person is facing away from the bear.,True,3,clear_image_model_reasoning_failure,"Child sitting in front of large stuffed bear; child faces camera, bear is behind; child IS facing away from bear; clear image"
1035,parallel to,The skateboard is parallel to the couch.,False,3,parallel_perpendicular_geometry,"Dog on skateboard; skateboard angled diagonally; couch horizontal in background; objects are not parallel; angular relationship is clear"
1167,facing away from,The dog is facing away from the horse.,True,3,clear_image_model_reasoning_failure,"Golden retriever facing camera with horse behind; dog faces away from horse; 7B zero+LoRA BOTH got this wrong despite 2B getting it right"
1266,facing away from,The cat is facing away from the bed.,True,3,clear_image_model_reasoning_failure,"White cat on bed facing camera; bed is behind cat; cat IS facing away from bed; clear image, models wrong"
1400,facing away from,The cat is facing away from the suitcase.,True,3,clear_image_model_reasoning_failure,"Cat lying in black suitcase facing camera; cat IS facing away from suitcase interior; clear image, models wrong"
1405,facing,The teddy bear is facing the book.,True,3,clear_image_model_reasoning_failure,"Person reading with teddy bear to right; bear's face oriented toward book; dim lighting but relationship clear, models wrong"
1490,facing away from,The laptop is facing away from the person.,True,3,clear_image_model_reasoning_failure,"Vintage-style photo; person holds laptop with screen facing outward away from body; laptop IS facing away from person; clear"
1559,facing,The cat is facing the laptop.,True,3,clear_image_model_reasoning_failure,"Cat between person's legs facing laptop; cat's head oriented toward screen; IS facing laptop; models wrong"
1608,parallel to,The book is parallel to the bed.,False,3,parallel_perpendicular_geometry,"Open book 'Wind-Up Bird Chronicle' on bed at angle to bed edges; not parallel; angular relationship requires geometric assessment"
1939,facing away from,The person is facing away from the refrigerator.,True,3,clear_image_model_reasoning_failure,"Person in kitchen facing camera; refrigerator behind with magnets; person IS facing away from fridge; clear image, models wrong"
1953,facing away from,The cow is facing away from the person.,True,3,clear_image_model_reasoning_failure,"Cow in wooden chute; person/rancher behind; cow's head faces left away from person; 7B zero+LoRA BOTH got this wrong"
2151,facing,The bear is facing the person.,False,3,subject_reference_inversion,"Bear walking toward camera on path; person visible in far background behind bear; bear faces camera not person; models confuse reference person"
375,facing,The zebra is facing the person.,True,2,clear_image_model_reasoning_failure,"Zebra facing photographer in field; zebra IS facing person; 7B zero+LoRA BOTH got this wrong while 2B got it right; 7B regression"
558,facing away from,The bird is facing away from the cat.,True,2,front_back_object_ambiguous,"Cat looking down at bird in grass; bird on ground wings spread; bird's head points away from cat; bird's body orientation is partially obscured"
676,parallel to,The boat is parallel to the truck.,True,2,camera_viewpoint_ambiguity,"Truck cab foreground; boat/barge in water background; different depths; 7B models regressed while 2B correct"
937,perpendicular to,The zebra is perpendicular to the horse.,False,2,camera_viewpoint_ambiguity,"Extreme close-up of zebra's open mouth; horse in background; close-up distorts spatial perception; hard to assess zebra's body orientation"
1178,parallel to,The bench is parallel to the person.,True,2,parallel_perpendicular_geometry,"Woman sitting on wooden bench facing camera; bench extends left-right; when sitting person is aligned with bench; 7B regressed"
1202,facing,The bird is facing the elephant.,True,2,clear_image_model_reasoning_failure,"Vulture with wings spread facing elephant in background; bird IS facing elephant; 7B zero+LoRA BOTH got this wrong while 2B correct"
1296,facing away from,The horse is facing away from the zebra.,True,2,clear_image_model_reasoning_failure,"Marionette horse faces left; zebra puppet faces right; facing away from each other; 7B models regressed on puppets"
1611,facing,The cat is facing the backpack.,True,2,clear_image_model_reasoning_failure,"Cat lying in/on black backpack; head faces into backpack; IS facing backpack; 7B zero+LoRA BOTH got this wrong"
1662,parallel to,The car is parallel to the motorcycle.,True,2,camera_viewpoint_ambiguity,"Police motorcycle with officer; car in background; both face right; zero-shot models got it wrong but LoRA fixed both scales"
1815,parallel to,The bicycle is parallel to the motorcycle.,True,2,camera_viewpoint_ambiguity,"Honda motorcycle foreground; bicycle partially visible behind rack; both oriented left-right; 7B regressed while 2B correct"
